Artist,Title,Album,Air Time,Duration,Letter,First Word,Year
Amy Winehouse,Love Is A Losing Game,Back to Black,2023-12-11 09:12:31,2,L,Love,2006
Carole King,Beautiful,Tapestry,2023-12-11 09:15:10,2,B,Beautiful,1970
Lana Del Rey,Video Games,Born To Die,2023-12-11 09:18:07,5,V,Video,2011
k. d. lang,Hallelujah,Hymns Of The 49th Parallel,2023-12-11 09:23:43,4,H,Hallelujah,2004
Edith Piaf,La Vie En Rose,The Best Of...,2023-12-11 09:28:34,3,L,La,1950
Heart,Alone,Bad Animals,2023-12-11 09:31:41,5,A,Alone,1983
Alanis Morissette,Hand In My Pocket,Jagged Little Pill,2023-12-11 09:36:45,3,H,Hand,1995
Missy Elliott,Work It,Under Construction,2023-12-11 09:40:27,4,W,Work,2002
Chaka Khan,I'm Every Woman,Chaka,2023-12-11 09:44:48,5,I,I'm,1978
Nico,These Days,Chelsea Girl,2023-12-11 09:50:24,3,T,These,1967
Lucinda Williams,Changed The Locks,Lucinda Williams,2023-12-11 09:53:58,3,C,Changed,1988
Fleetwood Mac,You Make Loving Fun,Rumours,2023-12-11 09:57:38,3,Y,You,1977
Loretta Lynn,Coal Miner's Daughter,Coal Miner's Daughter,2023-12-11 10:01:37,4,C,Coal,1986
Lucinda Williams,Passionate Kisses,Lucinda Williams,2023-12-11 10:06:33,2,P,Passionate,1988
Sheryl Crow,All I Wanna Do,Tuesday Night Music Club,2023-12-11 10:09:05,4,A,All,1995
Alicia Keys,Fallin',Songs in A Minor,2023-12-11 10:13:41,3,F,Fallin',2001
Emmylou Harris,Boulder To Birmingham,Pieces of the Sky,2023-12-11 10:17:07,5,B,Boulder,1975
Carly Simon,Anticipation,Anticipation,2023-12-11 10:22:24,3,A,Anticipation,1971
Barbra Streisand,Evergreen (Love Theme from A Star Is Born),A Star Is Born: Original Motion Picture Soundtrack,2023-12-11 10:25:42,3,E,Evergreen,1976
Dolly Parton,Coat of Many Colors,Ultimate,2023-12-11 10:28:50,4,C,Coat,1971
Patty Griffin,Rain,1000 Kisses,2023-12-11 10:33:47,4,R,Rain,1996
Madonna,Vogue,The Immaculate Collection,2023-12-11 10:37:47,5,V,Vogue,1990
Linda Ronstadt,Love Has No Pride,Don't Cry Now,2023-12-11 10:43:00,4,L,Love,1973
Amy Winehouse,Tears Dry On Their Own,Back to Black,2023-12-11 10:47:05,4,T,Tears,2007
Bonnie Raitt,Thing Called Love,Nick Of Time,2023-12-11 10:51:26,3,T,Thing,1989
Lulu,To Sir With Love,Love Loves To Love Lulu,2023-12-11 10:55:22,2,T,To,1971
Kirsty MacColl,In These Shoes?,Tropical Brainstorm,2023-12-11 10:58:00,4,I,In,2000
Joni Mitchell,Woodstock,Ladies Of The Canyon,2023-12-11 11:02:05,7,W,Woodstock,1970
Lady Gaga,Bad Romance,The Fame Monster,2023-12-11 11:09:47,3,B,Bad,2009
The Carpenters,(They Long To Be) Close To You,The Singles 1969-1973,2023-12-11 11:13:00,5,(,(,1970
The Sundays,Here's Where The Story Ends,"Reading, Writing And Arithmetic",2023-12-11 11:18:21,5,H,Here's,1990
Dar Williams,When I Was A Boy,The Honesty Room,2023-12-11 11:24:00,4,W,When,1995
Robyn,Dancing On My Own,"Body Talk, Pt. 1",2023-12-11 11:28:02,4,D,Dancing,2010
k. d. lang,Constant Craving,Ingenue,2023-12-11 11:32:38,5,C,Constant,1992
Aimee Mann,Save Me,Magnolia (soundtrack),2023-12-11 11:37:51,5,S,Save,1999
Judy Collins,Send In The Clowns,Judith,2023-12-11 11:43:34,3,S,Send,1991
Ani DiFranco,32 Flavors,Not A Pretty Girl,2023-12-11 11:47:24,6,3,32,1995
Adele,Chasing Pavements,19,2023-12-11 11:53:36,4,C,Chasing,2007
Sarah McLachlan,Possession,Fumbling Towards Ecstasy,2023-12-11 11:58:08,4,P,Possession,1993
Brandi Carlile,You and Me on the Rock (feat. Lucius),In These Silent Days,2023-12-11 12:03:03,3,Y,You,2021
Joni Mitchell,All I Want,Blue,2023-12-11 12:06:43,4,A,All,1971
Adele,Set Fire to the Rain,21,2023-12-11 12:11:09,3,S,Set,2011
boygenius,Not Strong Enough,The Record,2023-12-11 12:15:05,4,N,Not,2023
Nancy Sinatra,These Boots Are Made For Walkin',Boots,2023-12-11 12:19:40,3,T,These,1966
Brandi Carlile,Broken Horses,In These Silent Days,2023-12-11 12:23:12,4,B,Broken,2021
Ella Fitzgerald,Summertime,Pure Ella,2023-12-11 12:28:07,4,S,Summertime,1964
Janis Joplin,Mercedes Benz,Pearl,2023-12-11 12:33:06,1,M,Mercedes,1971
Courtney Barnett,Avant Gardener,The Double EP: A Sea of Spilt Peas,2023-12-11 12:34:50,6,A,Avant,2013
Emmylou Harris,Red Dirt Girl,Red Dirt Girl,2023-12-11 12:41:38,4,R,Red,2000
Phoebe Bridgers,Motion Sickness,Stranger In The Alps,2023-12-11 12:45:49,3,M,Motion,2017
Big Mama Thornton,Hound Dog,"Blues Masters, Volume 5: Jump Blues Classics",2023-12-11 12:49:40,2,H,Hound,1969
Joni Mitchell,Carey,Blue,2023-12-11 12:52:28,4,C,Carey,1971
