Artist,Title,Air Time_x,Play,Year,Letter,First Word,Duration,Air Time_y
Faces,Bad 'N' Ruin,2017-11-29 23:31:00,0,1971,B,Bad,7,2016-12-01 02:24:00
Harold Melvin & The Bluenotes,Bad Luck,2017-11-30 00:00:00,0,1975,B,Bad,6,2016-12-01 01:56:00
Steely Dan,Bad Sneakers,2017-11-30 00:14:00,0,1975,B,Bad,4,2016-12-01 02:36:00
Bruce Springsteen,Badlands,2017-11-30 00:24:00,0,1978,B,Badlands,4,2016-12-01 02:50:00
The Temptations,Ball Of Confusion,2017-11-30 00:34:00,0,1971,B,Ball,5,2016-12-01 03:15:00
Elton John,Ballad Of A Well-Known Gun,2017-11-30 00:39:00,0,1971,B,Ballad,5,2016-12-01 03:26:00
Randy Newman,Baltimore,2017-11-30 00:52:00,0,1977,B,Baltimore,4,2016-12-01 03:33:00
Paul McCartney & Wings,Band On The Run,2017-11-30 01:02:00,0,1973,B,Band,6,2016-12-01 03:37:00
T Rex,Bang A Gong (Get It On),2017-11-30 01:08:00,0,1971,B,Bang,4,2016-12-01 03:43:00
Fleetwood Mac,Bare Trees,2017-11-30 01:17:00,0,1972,B,Bare,5,2016-12-01 03:55:00
The Who,Bargain,2017-11-30 01:22:00,0,1971,B,Bargain,5,2016-12-01 04:05:00
Led Zeppelin,Battle Of Evermore,2017-11-30 02:06:00,0,1971,B,Battle,5,2016-12-01 04:23:00
Todd Rundgren,Be Nice To Me,2017-11-30 02:22:00,0,1971,B,Be,4,2016-12-01 04:42:00
William DeVaughn,Be Thankful For What You Got,2017-11-30 02:29:00,0,1974,B,Be,6,2016-12-01 04:53:00
The Rolling Stones,Beast Of Burden,2017-11-30 02:42:00,0,1978,B,Beast,4,2016-12-01 05:04:00
David Bowie,Beauty And The Beast,2017-11-30 03:07:00,0,1977,B,Beauty,3,2016-12-01 05:18:00
Patti Smith,Because The Night,2017-11-30 03:18:00,0,1978,B,Because,3,2016-12-01 05:31:00
The Rolling Stones,Before They Make Me Run,2017-11-30 03:38:00,0,1978,B,Before,4,2016-12-01 05:55:00
The Who,Behind Blue Eyes,2017-11-30 03:42:00,0,1971,B,Behind,4,2016-12-01 06:25:00
Derek & The Dominos,Bell Bottom Blues,2017-11-30 03:58:00,0,1970,B,Bell,5,2016-12-01 06:51:00
Strawbs,Benedictus,2017-11-30 04:11:00,0,1972,B,Benedictus,4,2016-12-01 07:01:00
Elton John,Bennie and the Jets,2017-11-30 04:15:00,0,1973,B,Bennie,5,2016-12-01 07:05:00
Fleetwood Mac,Bermuda Triangle,2017-11-30 04:20:00,0,1974,B,Bermuda,4,2016-12-01 07:16:00
Grateful Dead,Bertha,2017-11-30 04:24:00,0,1971,B,Bertha,7,2016-12-01 07:26:00
The Stylistics,Betcha By Golly Wow,2017-11-30 04:43:00,0,1971,B,Betcha,3,2016-12-01 07:35:00
Dr. John,Big Chief,2017-11-30 05:16:00,0,1972,B,Big,3,2016-12-01 08:09:00
Joni Mitchell,Big Yellow Taxi,2017-11-30 05:37:00,0,1970,B,Big,2,2016-12-01 09:12:00
Weather Report,Birdland,2017-11-30 06:17:00,0,1977,B,Birdland,6,2016-12-01 09:50:00
The Rolling Stones,Bitch,2017-11-30 06:31:00,0,1971,B,Bitch,5,2016-12-01 10:00:00
Steely Dan,Black Cow,2017-11-30 07:37:00,0,1977,B,Black,5,2016-12-01 10:53:00
Steely Dan,Black Friday,2017-11-30 08:00:00,0,1975,B,Black,3,2016-12-01 10:59:00
The Doobie Brothers,Black Water,2017-11-30 08:34:00,0,1974,B,Black,8,2016-12-01 11:34:00
Elvis Costello,Blame It On Cain,2017-11-30 08:42:00,0,1977,B,Blame,3,2016-12-01 11:53:00
Richard Hell & The Voidoids,Blank Generation,2017-11-30 08:50:00,0,1977,B,Blank,3,2016-12-01 12:00:00
Bruce Springsteen,Blinded By The Light,2017-11-30 09:06:00,0,1972,B,Blinded,5,2016-12-01 12:15:00
The Ramones,Blitzkrieg Bop,2017-11-30 09:22:00,0,1976,B,Blitzkrieg,3,2016-12-01 12:24:00
Supertramp,Bloody Well Right,2017-11-30 09:39:00,0,1974,B,Bloody,5,2016-12-01 12:39:00
Joni Mitchell,Blue,2017-11-30 09:49:00,0,1971,B,Blue,3,2016-12-01 12:44:00
Willie Nelson,Blue Eyes Crying In The Rain,2017-11-30 09:57:00,0,1975,B,Blue,3,2016-12-01 12:50:00
Fleetwood Mac,Blue Letter,2017-11-30 10:00:00,0,1975,B,Blue,3,2016-12-01 12:58:00
Van Morrison,Blue Money,2017-11-30 10:03:00,0,1970,B,Blue,4,2016-12-01 13:06:00
Willie Nelson,Blue Skies,2017-11-30 10:20:00,0,1978,B,Blue,3,2016-12-01 13:15:00
The Allman Brothers,Blue Sky,2017-11-30 10:23:00,0,1972,B,Blue,6,2016-12-01 13:18:00
Paul McCartney & Wings,Bluebird,2017-11-30 10:34:00,0,1973,B,Bluebird,3,2016-12-01 13:42:00
Eric Clapton,Blues Power,2017-11-30 10:37:00,0,1970,B,Blues,3,2016-12-01 14:06:00
Steely Dan,Bodhisattva,2017-11-30 10:52:00,0,1973,B,Bodhisattva,5,2016-12-01 14:17:00
Queen,Bohemian Rhapsody,2017-11-30 10:57:00,0,1975,B,Bohemian,6,2016-12-01 14:31:00
Bob Weir,Bombs Away,2017-11-30 11:03:00,0,1978,B,Bombs,7,2016-12-01 14:41:00
Eddie Kendricks,Boogie Down,2017-11-30 11:12:00,0,1974,B,Boogie,7,2016-12-01 15:04:00
Heatwave,Boogie Nights,2017-11-30 11:19:00,0,1976,B,Boogie,7,2016-12-01 15:08:00
Stevie Wonder,Boogie On Reggae Woman,2017-11-30 11:26:00,0,1974,B,Boogie,5,2016-12-01 15:13:00
Led Zeppelin,Boogie With Stu,2017-11-30 11:38:00,0,1975,B,Boogie,6,2016-12-01 15:19:00
The Heptones,Book Of Rules,2017-11-30 11:46:00,0,1976,B,Book,3,2016-12-01 15:26:00
Elton John,Border Song,2017-11-30 11:56:00,0,1970,B,Border,4,2016-12-01 15:52:00
