Artist,Title,Air Time_x,Play,Year,Letter,First Word,Duration,Air Time_y
Grand Funk Railroad,Heartbreaker,2017-12-03 14:36:00,0,0,H,Heartbreaker,7,2016-12-05 09:32:00
Graham Parker,Heat Treatment,2017-12-03 14:43:00,0,1976,H,Heat,3,2016-12-05 09:48:00
Stevie Wonder,Heaven Is A Zillion Light Years Away,2017-12-03 14:59:00,0,1974,H,Heaven,5,2016-12-05 10:16:00
Joni Mitchell,Hejira,2017-12-03 15:26:00,0,1976,H,Hejira,7,2016-12-05 10:40:00
Paul McCartney & Wings,Helen Wheels,2017-12-03 15:33:00,0,1973,H,Helen,3,2016-12-05 10:46:00
John Prine,Hello In There,2017-12-03 15:50:00,0,1971,H,Hello,5,2016-12-05 11:16:00
Todd Rundgren,Hello It's Me,2017-12-03 15:55:00,0,1975,H,Hello,4,2016-12-05 11:22:00
Eric Clapton,Hello Old Friend,2017-12-03 16:01:00,0,1976,H,Hello,7,2016-12-05 11:28:00
Joni Mitchell,Help Me,2017-12-03 16:08:00,0,1974,H,Help,3,2016-12-05 11:38:00
Joe Walsh,Help Me Thru The Night,2017-12-03 16:14:00,0,1974,H,Help,3,2016-12-05 11:44:00
Crosby Stills Nash & Young,Helpless,2017-12-03 16:24:00,0,1970,H,Helpless,3,2016-12-05 11:48:00
Jackson Browne,Here Come Those Tears Again,2017-12-03 16:42:00,0,1976,H,Here,3,2016-12-05 12:15:00
Tom Petty & The Heartbreakers,Here Comes My Girl,2017-12-03 16:45:00,0,1979,H,Here,5,2016-12-05 12:19:00
Richie Havens,Here Comes The Sun,2017-12-03 16:51:00,0,1971,H,Here,4,2016-12-05 12:35:00
Al Green,Here I Am (Come And Take Me),2017-12-03 17:07:00,0,1972,H,Here,5,2016-12-05 12:50:00
David Bowie,Heroes,2017-12-03 17:16:00,0,1977,H,Heroes,6,2016-12-05 13:15:00
Fleetwood Mac,Heroes Are Hard To Find,2017-12-03 17:22:00,0,1974,H,Heroes,6,2016-12-05 13:21:00
Neil Young,"Hey Hey, My My (Into the Black)",2017-12-03 17:45:00,0,1979,H,Hey,7,2016-12-05 13:46:00
The Rolling Stones,Hey Negrita,2017-12-03 17:59:00,0,1976,H,Hey,5,2016-12-05 14:26:00
Creedence Clearwater Revival,Hey Tonight,2017-12-03 18:12:00,0,1970,H,Hey,4,2016-12-05 14:55:00
Pink Floyd,Hey You,2017-12-03 18:20:00,0,1979,H,Hey,4,2016-12-05 15:00:00
Paul McCartney & Wings,Hi Hi Hi,2017-12-03 18:24:00,0,1972,H,Hi,4,2016-12-05 15:08:00
Joe Cocker,High Time We Went,2017-12-03 18:39:00,0,1972,H,High,4,2016-12-05 15:40:00
Stevie Wonder,Higher Ground,2017-12-03 18:43:00,0,1973,H,Higher,4,2016-12-05 15:50:00
Joni Mitchell,Hissing Of Summer Lawns,2017-12-03 19:09:00,0,1975,H,Hissing,4,2016-12-05 16:20:00
Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,2017-12-03 19:17:00,0,1979,H,Hit,4,2016-12-05 16:26:00
Vanity Fare,Hitchin' A Ride,2017-12-03 19:21:00,0,1970,H,Hitchin',3,2016-12-05 16:44:00
Focus,Hocus Pocus,2017-12-03 19:24:00,0,1970,H,Hocus,8,2016-12-05 17:01:00
Emerson Lake & Palmer,Hoedown,2017-12-03 19:32:00,0,1972,H,Hoedown,4,2016-12-05 17:07:00
Ian Gomm,Hold On,2017-12-03 19:39:00,0,1979,H,Hold,3,2016-12-05 17:26:00
Steve Winwood,Hold On,2017-12-03 19:42:00,0,1977,H,Hold,6,2016-12-05 17:36:00
Argent,Hold Your Head Up,2017-12-03 19:48:00,0,1972,H,Hold,6,2016-12-05 17:55:00
Ambrosia,Holdin' On To Yesterday,2017-12-03 19:54:00,0,1975,H,Holdin',5,2016-12-05 18:05:00
Elton John,Holiday Inn,2017-12-03 20:09:00,0,1971,H,Holiday,4,2016-12-05 18:18:00
Boz Scaggs,Hollywood,2017-12-03 20:16:00,0,1977,H,Hollywood,3,2016-12-05 18:24:00
Karla Bonoff,Home,2017-12-03 20:30:00,0,1977,H,Home,4,2016-12-05 18:55:00
Neil Young,Homegrown,2017-12-03 20:42:00,0,1977,H,Homegrown,2,2016-12-05 19:21:00
Mott The Hoople,Honaloochie Boogie,2017-12-03 20:50:00,0,1973,H,Honaloochie,3,2016-12-05 19:31:00
Siouxsie & The Banshees,Hong Kong Garden,2017-12-03 20:59:00,0,1978,H,Hong,3,2016-12-05 19:48:00
Elton John,Honky Cat,2017-12-03 21:02:00,0,1972,H,Honky,5,2016-12-05 19:50:00
Santana,Hope You're Feeling Better,2017-12-03 21:21:00,0,1970,H,Hope,4,2016-12-05 20:25:00
James Brown,Hot Pants,2017-12-03 21:50:00,0,1971,H,Hot,3,2016-12-05 20:44:00
Commander Cody & His Lost Planet Airmen,Hot Rod Lincoln,2017-12-03 21:53:00,0,1971,H,Hot,3,2016-12-05 20:47:00
The Rolling Stones,Hot Stuff,2017-12-03 22:00:00,0,1976,H,Hot,5,2016-12-05 20:54:00
The Eagles,Hotel California,2017-12-03 22:11:00,0,1976,H,Hotel,6,2016-12-05 21:12:00
Led Zeppelin,Houses Of The Holy,2017-12-03 22:22:00,0,1975,H,Houses,4,2016-12-05 21:55:00
Al Green,How Can You Mend A Broken Heart,2017-12-03 22:34:00,0,1972,H,How,6,2016-12-05 22:07:00
Bee Gees,How Can You Mend A Broken Heart,2017-12-03 22:40:00,0,1971,H,How,4,2016-12-05 22:03:00
Bee Gees,How Deep Is Your Love,2017-12-03 22:44:00,0,1977,H,How,5,2016-12-05 22:22:00
John Lennon,How Do You Sleep?,2017-12-03 22:52:00,0,1971,H,How,6,2016-12-05 22:30:00
ACE,How Long,2017-12-03 23:04:00,0,1975,H,How,4,2016-12-05 22:40:00
Fleetwood Mac,Hypnotized,2017-12-04 00:09:00,0,1973,H,Hypnotized,6,2016-12-06 00:18:00
Rodney Crowell,I Ain't Living Long Like This,2017-12-04 00:19:00,0,1978,I,I,4,2016-12-06 00:32:00
The American Dream,I Ain't Searchin,2017-12-04 00:23:00,0,0,I,I,5,2016-12-06 00:39:00
Willie Dixon,I Ain't Superstitious,2017-12-04 00:28:00,0,1970,I,I,5,2016-12-06 00:49:00
Chris Bell,I Am The Cosmos,2017-12-04 00:39:00,0,1978,I,I,4,2016-12-06 01:13:00
Dr. John,I Been Hoodood,2017-12-04 00:53:00,0,1973,I,I,3,2016-12-06 01:36:00
Neil Young,I Believe In You,2017-12-04 01:05:00,0,1970,I,I,4,2016-12-06 01:43:00
Nils Lofgren,I Came To Dance,2017-12-04 01:09:00,0,1977,I,I,5,2016-12-06 01:54:00
Ron Wood,I Can Feel The Fire,2017-12-04 01:14:00,0,1974,I,I,4,2016-12-06 01:59:00
Billy Swan,I Can Help,2017-12-04 01:22:00,0,1974,I,I,2,2016-12-06 02:04:00
Johnny Nash,I Can See Clearly Now,2017-12-04 01:24:00,0,1972,I,I,3,2016-12-06 02:07:00
Muddy Waters,I Can't Be Satisfied,2017-12-04 01:27:00,0,1977,I,I,4,2016-12-06 02:14:00
Al Green,I Can't Get Next To You,2017-12-04 01:31:00,0,1972,I,I,3,2016-12-06 02:20:00
Ann Peebles,I Can't Stand The Rain,2017-12-04 01:49:00,0,1973,I,I,3,2016-12-06 03:00:00
The Eagles,I Can't Tell You Why,2017-12-04 01:52:00,0,1979,I,I,5,2016-12-06 03:20:00
Tom Waits,I Can't Wait To Get Off Work,2017-12-04 01:57:00,0,1976,I,I,3,2016-12-06 03:28:00
George Harrison,I Dig Love,2017-12-04 02:07:00,0,1970,I,I,4,2016-12-06 03:44:00
Tim Curry,I Do The Rock,2017-12-04 02:16:00,0,1979,I,I,5,2016-12-06 03:56:00
The Boomtown Rats,I Don't Like Mondays,2017-12-04 02:23:00,0,1979,I,I,4,2016-12-06 04:14:00
Southside Johnny & The Asbury Jukes,I Don't Want To Go Home,2017-12-04 02:53:00,0,1976,I,I,3,2016-12-06 04:32:00
Fleetwood Mac,I Don't Want To Know,2017-12-04 02:56:00,0,1977,I,I,4,2016-12-06 04:35:00
Carole King,I Feel The Earth Move,2017-12-04 03:23:00,0,1971,I,I,3,2016-12-06 05:10:00
The Clash,I Fought The Law,2017-12-04 03:26:00,0,1979,I,I,3,2016-12-06 05:15:00
Crosby Stills & Nash,I Give You Give Blind,2017-12-04 03:35:00,0,1977,I,I,3,2016-12-06 05:21:00
Steely Dan,I Got The News,2017-12-04 03:45:00,0,1977,I,I,5,2016-12-06 05:42:00
Joe Tex,I Gotcha,2017-12-04 03:50:00,0,0,I,I,4,2016-12-06 05:55:00
Dave Edmunds,I Hear You Knockin',2017-12-04 04:00:00,0,1972,I,I,3,2016-12-06 06:07:00
Creedence Clearwater Revival,I Heard It Through The Grapevine,2017-12-04 04:03:00,0,1970,I,I,11,2016-12-06 06:12:00
Tom Waits,I Hope That I Don't Fall In Love With You,2017-12-04 04:22:00,0,1973,I,I,4,2016-12-06 06:29:00
Andy Gibb,I Just Want To Be Your Everything,2017-12-04 04:33:00,0,1977,I,I,5,2016-12-06 06:36:00
The Rolling Stones,I Just Want To See His Face,2017-12-04 04:44:00,0,1972,I,I,3,2016-12-06 06:43:00
Dave Edmunds,I Knew The Bride (When She Used To Rock & Roll),2017-12-04 04:47:00,0,1977,I,I,5,2016-12-06 07:04:00
Bonnie Raitt,I Know,2017-12-04 04:52:00,0,1972,I,I,4,2016-12-06 07:13:00
Lynyrd Skynyrd,I Know A Little,2017-12-04 05:00:00,0,1977,I,I,3,2016-12-06 07:23:00
Genesis,I Know What I Like,2017-12-04 05:07:00,0,1973,I,I,4,2016-12-06 07:35:00
Derek & The Dominos,I Looked Away,2017-12-04 05:20:00,0,1970,I,I,3,2016-12-06 08:04:00
The O'Jays,I Love Music,2017-12-04 05:28:00,0,1975,I,I,8,2016-12-06 08:14:00
The Beatles,I Me Mine,2017-12-04 05:44:00,0,1970,I,I,3,2016-12-06 08:48:00
Grateful Dead,I Need A Miracle,2017-12-04 05:50:00,0,1978,I,I,4,2016-12-06 09:37:00
Tom Petty & The Heartbreakers,I Need To Know,2017-12-04 05:59:00,0,1978,I,I,3,2016-12-06 10:00:00
The Alan Parsons Project,I Robot,2017-12-04 06:13:00,0,1977,I,I,8,2016-12-06 10:28:00
Todd Rundgren,I Saw the Light,2017-12-04 06:21:00,0,1975,I,I,3,2016-12-06 10:34:00
Dan Hicks & The Hot Licks,I Scare Myself,2017-12-04 06:24:00,0,1972,I,I,6,2016-12-06 10:41:00
Hot Tuna,I See The Light,2017-12-04 06:30:00,0,1974,I,I,4,2016-12-06 10:51:00
The Band,I Shall Be Released,2017-12-04 06:34:00,0,1978,I,I,8,2016-12-06 10:55:00
Bob Marley & The Wailers,I Shot The Sheriff,2017-12-04 06:42:00,0,1973,I,I,4,2016-12-06 10:59:00
Eric Clapton,I Shot The Sheriff,2017-12-04 06:46:00,0,1974,I,I,9,2016-12-06 11:06:00
Bonnie Raitt,I Thank You,2017-12-04 06:59:00,0,1979,I,I,3,2016-12-06 11:31:00
ZZ Top,I Thank You,2017-12-04 07:02:00,0,1979,I,I,3,2016-12-06 11:37:00
Jackson Browne,I Thought I Was A Child,2017-12-04 07:21:00,0,1973,I,I,4,2016-12-06 11:51:00
The Ramones,I Wanna Be Sedated,2017-12-04 07:27:00,0,1978,I,I,3,2016-12-06 12:34:00
The Raspberries,I Wanna Be With You,2017-12-04 07:36:00,0,1972,I,I,6,2016-12-06 12:37:00
Prince,I Wanna Be Your Lover,2017-12-04 07:44:00,0,1979,I,I,3,2016-12-06 12:40:00
Richard Thompson,I Want To See The Bright Lights Tonight,2017-12-04 08:24:00,0,1974,I,I,3,2016-12-06 13:03:00
NRBQ,I Want You Bad,2017-12-04 08:34:00,0,1978,I,I,3,2016-12-06 13:36:00
Cheap Trick,I Want You To Want Me,2017-12-04 08:37:00,0,1978,I,I,6,2016-12-06 13:41:00
Gloria Gaynor,I Will Survive,2017-12-04 09:00:00,0,1978,I,I,3,2016-12-06 14:13:00
Stevie Wonder,I Wish,2017-12-04 09:03:00,0,1976,I,I,4,2016-12-06 14:22:00
The Alan Parsons Project,I Wouldn't Want To Be Like You,2017-12-04 09:23:00,0,1977,I,I,5,2016-12-06 14:36:00
Talking Heads,I Zimbra,2017-12-04 09:32:00,0,1979,I,I,3,2016-12-06 14:40:00
George Harrison,I'd Have You Anytime,2017-12-04 09:35:00,0,1970,I,I'd,3,2016-12-06 15:03:00
Ten Years After,I'd Love To Change The World,2017-12-04 09:42:00,0,1971,I,I'd,3,2016-12-06 15:06:00
The Intruders,I'll Always Love My Mama,2017-12-04 09:53:00,0,1973,I,I'll,7,2016-12-06 18:00:00
The Spinners,I'll Be Around,2017-12-04 10:00:00,0,1973,I,I'll,4,2016-12-06 18:06:00
Jackson 5,I'll Be There,2017-12-04 10:12:00,0,1970,I,I'll,4,2016-12-06 18:16:00
Warren Zevon,I'll Sleep When I'm Dead,2017-12-04 10:27:00,0,1976,I,I'll,2,2016-12-06 18:37:00
The Staple Singers,I'll Take You There,2017-12-04 10:29:00,0,1972,I,I'll,7,2016-12-06 18:40:00
Tin Huey,I'm A Believer,2017-12-04 10:36:00,0,1979,I,I'm,3,2016-12-06 18:51:00
New York City,I'm Doin' Fine Now,2017-12-04 11:10:00,0,1973,I,I'm,3,2016-12-06 19:50:00
Alice Cooper,I'm Eighteen,2017-12-04 11:13:00,0,1971,I,I'm,3,2016-12-06 19:57:00
Queen,I'm In Love With My Car,2017-12-04 11:41:00,0,1975,I,I'm,3,2016-12-06 20:41:00
The Moody Blues,I'm Just A Singer (in A Rock And Roll Band),2017-12-04 11:53:00,0,1972,I,I'm,4,2016-12-06 20:48:00
10cc,I'm Not In Love,2017-12-04 12:04:00,0,1975,I,I'm,7,2016-12-06 21:03:00
Dwight Twilley Band,I'm On Fire,2017-12-04 12:17:00,0,1975,I,I'm,3,2016-12-06 21:25:00
Muddy Waters,I'm Ready,2017-12-04 12:23:00,0,1978,I,I'm,5,2016-12-06 21:32:00
Al Green,I'm Still In Love With You,2017-12-04 12:34:00,0,1972,I,I'm,3,2016-12-06 21:51:00
Joe Jackson,I'm The Man,2017-12-04 12:47:00,0,1979,I,I'm,4,2016-12-06 21:55:00
Freddie King,I'm Tore Down,2017-12-04 12:55:00,0,1971,I,I'm,3,2016-12-06 22:08:00
KC & The Sunshine Band,I'm Your Boogie Man,2017-12-04 12:58:00,0,1976,I,I'm,4,2016-12-06 22:23:00
Grand Funk Railroad,I'm Your Captain,2017-12-04 13:02:00,0,1970,I,I'm,10,2016-12-06 22:29:00
Frederick Knight,I've Been Lonely For So Long,2017-12-04 13:12:00,0,1973,I,I've,5,2016-12-07 08:18:00
Van Morrison,I've Been Working,2017-12-04 13:17:00,0,1970,I,I've,4,2016-12-07 08:41:00
The Beatles,I've Got A Feeling,2017-12-04 13:24:00,0,1970,I,I've,6,2016-12-07 08:45:00
Billy Joel,I've Loved These Days,2017-12-04 13:37:00,0,1976,I,I've,6,2016-12-07 09:05:00
Al Green,I've Never Found A Girl (Who Loves Me Like You Do),2017-12-04 13:43:00,0,1972,I,I've,3,2016-12-07 09:13:00
Yes,I've Seen All Good People,2017-12-04 13:46:00,0,1971,I,I've,8,2016-12-07 09:17:00
Bob Dylan,Idiot Wind,2017-12-04 14:00:00,0,1975,I,Idiot,8,2016-12-06 15:20:00
Bob Dylan,If Not For You,2017-12-04 14:27:00,0,1970,I,If,3,2016-12-06 16:39:00
George Harrison,If Not For You,2017-12-04 14:30:00,0,1970,I,If,5,2016-12-06 16:41:00
The Rolling Stones,If You Can't Rock Me,2017-12-04 14:48:00,0,1974,I,If,5,2016-12-06 16:56:00
Gordon Lightfoot,If You Could Read My Mind,2017-12-04 14:53:00,0,1970,I,If,3,2016-12-06 17:04:00
Harold Melvin & The Bluenotes,If You Don't Know Me By Now,2017-12-04 14:56:00,0,1972,I,If,4,2016-12-06 17:08:00
Chicago,If You Leave Me Now,2017-12-04 15:00:00,0,1976,I,If,4,2016-12-06 17:21:00
Stevie Wonder,If You Really Love Me,2017-12-04 15:04:00,0,1971,I,If,5,2016-12-06 17:25:00
The Rolling Stones,If You Really Want To Be My Friend,2017-12-04 15:09:00,0,1974,I,If,6,2016-12-06 17:31:00
Sly & The Family Stone,If You Want Me To Stay,2017-12-04 15:20:00,0,1973,I,If,3,2016-12-06 17:37:00
Ozark Mountain Daredevils,If You Want To Get To Heaven,2017-12-04 15:23:00,0,1973,I,If,5,2016-12-06 17:46:00
The Staple Singers,If You're Ready (Come Go With Me),2017-12-04 15:28:00,0,1973,I,If,4,2016-12-06 17:49:00
Dr. John,Iko Iko,2017-12-04 15:35:00,0,1972,I,Iko,8,2016-12-06 17:55:00
John Prine,Illegal Smile,2017-12-04 15:43:00,0,1971,I,Illegal,3,2016-12-06 18:44:00
John Lennon,Imagine,2017-12-04 15:46:00,0,1971,I,Imagine,3,2016-12-06 22:44:00
Led Zeppelin,Immigrant Song,2017-12-04 15:49:00,0,1970,I,Immigrant,3,2016-12-06 22:51:00
Joni Mitchell,In France They Kiss On Main Street,2017-12-04 16:07:00,0,1975,I,In,5,2016-12-06 23:38:00
The Allman Brothers,In Memory Of Elizabeth Reed,2017-12-04 16:18:00,0,1970,I,In,7,2016-12-06 23:42:00
Led Zeppelin,In The Evening,2017-12-04 17:05:00,0,1979,I,In,7,2016-12-07 00:10:00
Dire Straits,In The Gallery,2017-12-04 17:20:00,0,1978,I,In,8,2016-12-07 00:17:00
Caravan,In The Land Of Grey And Pink,2017-12-04 17:28:00,0,1971,I,In,5,2016-12-07 00:23:00
The Dramatics,In The Rain,2017-12-04 17:39:00,0,1971,I,In,5,2016-12-07 00:31:00
Mungo Jerry,In The Summertime,2017-12-04 17:46:00,0,1970,I,In,8,2016-12-07 00:41:00
Sly & The Family Stone,In Time,2017-12-04 17:54:00,0,1973,I,In,6,2016-12-07 01:12:00
Bruce Springsteen,Incident on 57th St,2017-12-04 18:00:00,0,1973,I,Incident,8,2016-12-07 01:26:00
Marvin Gaye,Inner City Blues,2017-12-04 18:23:00,0,1971,I,Inner,5,2016-12-07 01:44:00
Shuggie Otis,Inspiration Information,2017-12-04 18:39:00,0,1974,I,Inspiration,4,2016-12-07 01:51:00
John Lennon,Instant Karma!,2017-12-04 18:43:00,0,1970,I,Instant,4,2016-12-07 01:56:00
Van Morrison,Into The Mystic,2017-12-04 18:47:00,0,1970,I,Into,5,2016-12-07 02:29:00
Black Sabbath,Iron Man,2017-12-04 19:06:00,0,1970,I,Iron,8,2016-12-07 02:50:00
Hall & Oates,Is It A Star,2017-12-04 19:14:00,0,1974,I,Is,5,2016-12-07 03:00:00
Joe Jackson,Is She Really Going Out With Him,2017-12-04 19:24:00,0,1979,I,Is,4,2016-12-07 03:13:00
Bob Marley & The Wailers,Is This Love,2017-12-04 19:31:00,0,1978,I,Is,4,2016-12-07 03:21:00
Bob Dylan,Is Your Love In Vain?,2017-12-04 19:35:00,0,1978,I,Is,5,2016-12-07 03:31:00
Bob Dylan,Isis,2017-12-04 19:40:00,0,1976,I,Isis,9,2016-12-07 03:36:00
George Harrison,Isn't It A Pity,2017-12-04 19:53:00,0,1970,I,Isn't,7,2016-12-07 03:43:00
Stevie Wonder,Isn't She Lovely,2017-12-04 20:12:00,0,1976,I,Isn't,6,2016-12-07 03:50:00
David Bowie,It Ain't Easy,2017-12-04 20:20:00,0,1972,I,It,4,2016-12-07 04:02:00
The Meters,It Ain't No Use,2017-12-04 20:24:00,0,1974,I,It,13,2016-12-07 04:12:00
Ringo Starr,It Don't Come Easy,2017-12-04 20:41:00,0,1973,I,It,3,2016-12-07 04:30:00
The Doobie Brothers,It Keeps You Runnin',2017-12-04 21:04:00,0,1976,I,It,4,2016-12-07 04:42:00
The Band,It Makes No Difference,2017-12-04 21:08:00,0,1975,I,It,8,2016-12-07 04:53:00
Jerry Garcia,It Must Have Been The Roses,2017-12-04 21:16:00,0,1976,I,It,5,2016-12-07 05:05:00
Todd Rundgren,It Wouldn't Have Made Any Difference,2017-12-04 21:34:00,0,1975,I,It,4,2016-12-07 05:20:00
Hall & Oates,It's a Laugh,2017-12-04 21:38:00,0,1978,I,It's,4,2016-12-07 05:36:00
AC/DC,It's A Long Way To The Top (If You Wanna Rock 'n' Roll),2017-12-04 21:51:00,0,1976,I,It's,5,2016-12-07 05:41:00
The Spinners,It's A Shame,2017-12-04 21:59:00,0,1970,I,It's,3,2016-12-07 05:50:00
Rod Stewart,It's All Over Now,2017-12-04 22:06:00,0,1970,I,It's,6,2016-12-07 06:03:00
Hound Dog Taylor And The Houserockers,It's Alright,2017-12-04 22:20:00,0,1971,I,It's,3,2016-12-07 06:31:00
Bruce Springsteen,It's Hard To Be A Saint In The City,2017-12-04 22:35:00,0,1972,I,It's,4,2016-12-07 06:57:00
Queen,It's Late,2017-12-04 22:39:00,0,1977,I,It's,6,2016-12-07 07:01:00
Randy Newman,It's Lonely At The Top,2017-12-04 22:45:00,0,1972,I,It's,3,2016-12-07 07:07:00
The Rolling Stones,It's Only Rock'n Roll (But I Like It),2017-12-04 22:57:00,0,1974,I,It's,5,2016-12-07 07:44:00
Grateful Dead,Jack Straw,2017-12-04 23:12:00,0,1972,J,Jack,5,2016-12-07 09:28:00
Ozark Mountain Daredevils,Jackie Blue,2017-12-04 23:17:00,0,1974,J,Jackie,5,2016-12-07 09:37:00
Van Morrison,Jackie Wilson Said (I'm In Heaven When You Smile),2017-12-04 23:22:00,0,1972,J,Jackie,3,2016-12-07 09:41:00
Jackson Browne,Jamaica Say You Will,2017-12-04 23:46:00,0,1972,J,Jamaica,5,2016-12-07 10:06:00
The Eagles,James Dean,2017-12-04 23:54:00,0,1974,J,James,5,2016-12-07 10:12:00
Bob Marley & The Wailers,Jamming,2017-12-05 00:02:00,0,1977,J,Jamming,4,2016-12-07 10:15:00
John Lennon,Jealous Guy,2017-12-05 00:06:00,0,1971,J,Jealous,4,2016-12-07 10:38:00
T Rex,Jeepster,2017-12-05 00:10:00,0,1971,J,Jeepster,4,2016-12-07 10:49:00
The Allman Brothers,Jessica,2017-12-05 00:19:00,0,1973,J,Jessica,7,2016-12-07 11:30:00
The Doobie Brothers,Jesus Is Just Alright With Me,2017-12-05 00:29:00,0,1972,J,Jesus,4,2016-12-07 11:40:00
ZZ Top,Jesus Just Left Chicago,2017-12-05 00:33:00,0,1973,J,Jesus,4,2016-12-07 11:45:00
Paul McCartney & Wings,Jet,2017-12-05 00:39:00,0,1973,J,Jet,4,2016-12-07 11:53:00
The Clash,Jimmy Jazz,2017-12-05 00:52:00,0,1979,J,Jimmy,4,2016-12-07 12:17:00
Bee Gees,Jive Talkin',2017-12-05 01:02:00,0,1977,J,Jive,3,2016-12-07 12:28:00
David Bowie,"John, I'm Only Dancing",2017-12-05 01:41:00,0,1979,J,John,3,2016-12-07 12:37:00
Charlie,Johnny Hold Back,2017-12-05 01:48:00,0,1976,J,Johnny,4,2016-12-07 12:56:00
Warren Zevon,Johnny Strikes Up The Band,2017-12-05 01:52:00,0,1978,J,Johnny,3,2016-12-07 13:00:00
The Slickers,Johnny Too Bad,2017-12-05 01:55:00,0,1972,J,Johnny,3,2016-12-07 13:03:00
Warren Zevon,Join Me In L.A.,2017-12-05 01:58:00,0,1976,J,Join,4,2016-12-07 13:06:00
Dolly Parton,Jolene,2017-12-05 02:11:00,0,1973,J,Jolene,3,2016-12-07 13:26:00
Steely Dan,Josie,2017-12-05 02:17:00,0,1977,J,Josie,4,2016-12-07 13:28:00
The Kinks,Juke Box Music,2017-12-05 02:46:00,0,1977,J,Juke,6,2016-12-07 14:08:00
Harry Nilsson,Jump Into The Fire,2017-12-05 02:58:00,0,1971,J,Jump,7,2016-12-07 14:24:00
Kool & The Gang,Jungle Boogie,2017-12-05 03:16:00,0,1973,J,Jungle,3,2016-12-07 14:36:00
Chakachas,Jungle Fever,2017-12-05 03:19:00,0,1972,J,Jungle,4,2016-12-07 14:39:00
Bruce Springsteen,Jungleland,2017-12-05 03:29:00,0,1975,J,Jungleland,9,2016-12-07 14:51:00
Paul McCartney,Junior's Farm,2017-12-05 03:38:00,0,1974,J,Junior's,3,2016-12-07 15:01:00
The Main Ingredient,Just Don't Want To Be Lonely,2017-12-05 04:03:00,0,1974,J,Just,3,2016-12-07 15:22:00
The Meters,Just Kissed My Baby,2017-12-05 04:06:00,0,1974,J,Just,5,2016-12-07 15:33:00
Bob Dylan,Just Like A Woman,2017-12-05 04:17:00,0,1971,J,Just,5,2016-12-07 15:37:00
The Temptations,Just My Imagination (Running Away With Me),2017-12-05 04:26:00,0,1971,J,Just,4,2016-12-07 15:57:00
Todd Rundgren,Just One Victory,2017-12-05 04:30:00,0,1973,J,Just,6,2016-12-07 16:08:00
The Cars,Just What I Needed,2017-12-05 04:54:00,0,1978,J,Just,4,2016-12-07 16:21:00
David Bromberg,Kansas City,2017-12-05 04:58:00,0,1974,K,Kansas,4,2016-12-07 16:32:00
Emerson Lake & Palmer,Karn Evil 9: 1st Impression - Part 2,2017-12-05 05:16:00,0,1973,K,Karn,5,2016-12-07 16:55:00
Led Zeppelin,Kashmir,2017-12-05 05:21:00,0,1975,K,Kashmir,8,2016-12-07 17:00:00
Derek & The Dominos,Keep On Growing,2017-12-05 05:40:00,0,1970,K,Keep,6,2016-12-07 17:32:00
Wet Willie,Keep On Smilin',2017-12-05 05:53:00,0,1974,K,Keep,5,2016-12-07 17:39:00
Eddie Kendricks,Keep On Truckin',2017-12-05 05:58:00,0,1973,K,Keep,11,2016-12-07 17:43:00
Hot Tuna,Keep On Truckin',2017-12-05 06:09:00,0,1972,K,Keep,3,2016-12-07 17:53:00
Edgar Winter,Keep Playin That Rock N Roll,2017-12-05 06:12:00,0,1971,K,Keep,4,2016-12-07 18:00:00
Peter Tosh,Ketchy Shuby,2017-12-05 06:40:00,0,1976,K,Ketchy,5,2016-12-07 18:13:00
Steely Dan,Kid Charlemagne,2017-12-05 07:01:00,0,1976,K,Kid,4,2016-12-07 18:31:00
Bob Marley & The Wailers,Kinky Reggae,2017-12-05 07:33:00,0,1973,K,Kinky,6,2016-12-07 19:29:00
Kate & Anna McGarrigle,Kiss And Say Goodbye,2017-12-05 07:39:00,0,1975,K,Kiss,3,2016-12-07 19:37:00
Bruce Springsteen,Kitty's Back,2017-12-05 08:07:00,0,1973,K,Kitty's,8,2016-12-07 20:03:00
Bob Dylan,Knockin' On Heaven's Door,2017-12-05 08:30:00,0,1973,K,Knockin',2,2016-12-07 20:23:00
Paul Simon,Kodachrome,2017-12-05 08:41:00,0,1973,K,Kodachrome,4,2016-12-07 20:26:00
The Doors,L. A. Woman,2017-12-05 08:58:00,0,1971,L,L,8,2016-12-07 20:36:00
Leon Russell,Lady Blue,2017-12-05 09:58:00,0,1975,L,Lady,3,2016-12-07 21:04:00
Graham Parker,Lady Doctor,2017-12-05 10:05:00,0,1976,L,Lady,2,2016-12-07 21:07:00
Labelle,Lady Marmalade,2017-12-05 10:15:00,0,1974,L,Lady,3,2016-12-07 21:17:00
Dire Straits,Lady Writer,2017-12-05 10:21:00,0,1979,L,Lady,7,2016-12-07 21:20:00
The Doors,Land Ho!,2017-12-05 10:41:00,0,1970,L,Land,4,2016-12-07 21:50:00
Hall & Oates,Las Vegas Turnaround,2017-12-05 10:51:00,0,1973,L,Las,3,2016-12-07 22:09:00
Jackson Browne,Late For The Sky,2017-12-05 11:03:00,0,1974,L,Late,8,2016-12-07 22:49:00
Warren Zevon,"Lawyers, Guns, And Money",2017-12-05 11:24:00,0,1978,L,Lawyers,3,2016-12-07 23:12:00
Strawbs,Lay Down,2017-12-05 11:30:00,0,1973,L,Lay,4,2016-12-07 23:14:00
