Artist,Title,Album,Air Time,Letter,First Word,Duration
Ben Folds Five,Best Imitation of Myself,Ben Folds Five,2022-12-01 20:10:35,B,Best,3
Pearl Jam,Better Man,Vitology,2022-12-01 20:14:26,B,Better,3
Selena,Bidi Bidi Bom Bom,Amor Prohibido,2022-12-01 20:18:24,B,Bidi,3
Spacemen 3,Big Ciity (Everybody I Know Can Be Found Here),Recurring,2022-12-01 20:21:36,B,Big,11
Stone Temple Pilots,Big Empty,Purple,2022-12-01 20:33:23,B,Big,4
Foo Fighters,Big Me,Foo Fighters,2022-12-01 20:38:08,B,Big,2
Chris Whitley,Big Sky Country,Living With The Law,2022-12-01 20:40:22,B,Big,5
Bj rk,Big Time Sensuality,Debut,2022-12-01 20:45:33,B,Big,3
Ted Hawkins,Biloxi,The Next Hundred Years,2022-12-01 20:49:29,B,Biloxi,4
They Might Be Giants,Birdhouse In Your Soul,Flood,2022-12-01 20:54:00,B,Birdhouse,3
Meredith Brooks,Bitch,Blurring the Edges,2022-12-01 20:57:54,B,Bitch,4
Big Head Todd & The Monsters,Bittersweet,Sister Sweetly,2022-12-01 21:02:19,B,Bittersweet,6
R. E. M.,Bittersweet Me,New Adventures In Hi-fi,2022-12-01 21:08:38,B,Bittersweet,4
The Verve,Bittersweet Symphony,Urban Hymns,2022-12-01 21:13:18,B,Bittersweet,5
Frente,Bizarre Love Triangle,Marvin The Album,2022-12-01 21:19:10,B,Bizarre,2
Pearl Jam,Black,Ten,2022-12-01 21:21:11,B,Black,6
KRS-One,Black Cop,Return of the Boom Bap,2022-12-01 21:27:41,B,Black,2
Dread Zeppelin,Black Dog,Un-Led-Ed,2022-12-01 21:30:36,B,Black,5
Soul Asylum,Black Gold,Grave Dancers Union,2022-12-01 21:35:58,B,Black,10
Catherine Wheel,Black Metallic,Ferment,2022-12-01 21:46:25,B,Black,8
Radiohead,Black Star,The Bends,2022-12-01 21:54:27,B,Black,10
Brad Mehldau,Blackbird,Deregulating Jazz (art Of The Trio 1),2022-12-01 22:04:39,B,Blackbird,4
Chemical Brothers,Block Rockin' Beats,Dig Your Own Hole,2022-12-01 22:09:36,B,Block,4
LeAnn Rimes,Blue,Blue,2022-12-01 22:14:03,B,Blue,2
The Jayhawks,Blue,Tomorrow The Green Grass,2022-12-01 22:16:46,B,Blue,3
Eiffel 65,Blue (Da Ba Dee),Europop,2022-12-01 22:19:50,B,Blue,3
John Fogerty,Blue Boy,Blue Moon Swamp,2022-12-01 22:23:22,B,Blue,4
David Poe,Blue Glass Fall,David Poe,2022-12-01 22:27:51,B,Blue,3
Massive Attack,Blue Lines,Blue Lines,2022-12-01 22:31:43,B,Blue,4
Midnight Oil,Blue Sky Mine,Blue Sky Mining,2022-12-01 22:36:13,B,Blue,9
Taj Mahal,Blues Ain't Nothing,Dancing The Blues,2022-12-01 22:45:22,B,Blues,4
G. Love & Special Sauce,Blues Music,G Love & Special Sauce,2022-12-01 22:49:27,B,Blues,5
The Tragically Hip,Bobcaygeon,Phantom Power,2022-12-01 22:54:57,B,Bobcaygeon,5
Beastie Boys,Body Movin',Hello Nasty,2022-12-01 23:00:34,B,Body,3
Moby,Bodyrock,Play,2022-12-01 23:03:36,B,Bodyrock,4
Mae Moore,Bohemia,Bohemia,2022-12-01 23:07:51,B,Bohemia,4
Radiohead,Bones,The Bends,2022-12-01 23:11:56,B,Bones,3
The Origin,Bonfires Burning,Bend,2022-12-01 23:15:09,B,Bonfires,5
Enya,Book Of Days,Shepherd Moons,2022-12-01 23:20:22,B,Book,2
John Lee Hooker,Boom Boom,Boom Boom,2022-12-01 23:22:51,B,Boom,4
The Iguanas,Boom Boom Boom,Nuevo Boogaloo,2022-12-01 23:27:09,B,Boom,5
DJ Jazzy Jeff & The Fresh Prince,Boom! Shake The Room,Code Red,2022-12-01 23:32:11,B,Boom,5
Paul Simon,Born At The Right Time,Rhythm Of The Saints,2022-12-01 23:37:34,B,Born,3
James,Born of Frustration,Seven,2022-12-01 23:41:15,B,Born,5
Underworld,Born Slippy,Second Toughest in the Infants,2022-12-01 23:46:26,B,Born,9
Steve Forbert,Born Too Late,The American In Me,2022-12-01 23:56:00,B,Born,4
Ani DiFranco,Both Hands,Ani DiFranco,2022-12-02 00:00:42,B,Both,3
Beck,Bottle Of Blues,Mutations,2022-12-02 00:04:11,B,Bottle,4
Urge Overkill,Bottle Of Fur,Saturation,2022-12-02 00:09:07,B,Bottle,4
Phish,Bouncing Around The Room,Lawn Boy,2022-12-02 00:13:57,B,Bouncing,3
Local H,Bound For The Floor,As Good As Dead,2022-12-02 00:17:49,B,Bound,3
