Artist,Count
Hound Dog Taylor,1
Willie Dixon,1
Flash And The Pan,1
Chelsea,1
Bob James,1
Banbarra,1
Jimmy Cliff,1
Frederick Knight,1
Klaatu,1
Jools Holland,1
Art Garfunkel,1
The Saints,1
Jerry Butler,1
Shaun Cassidy,1
Wishbone Ash,1
Chris Bell,1
Jorge Ben,1
Chris Squire,1
Bauhaus,1
Orleans,1
Janis Ian,1
Gloria Gaynor,1
The Only Ones,1
Waylon Jennings & Willie Nelson,1
David Geddes,1
Black Flag,1
Brinsley Schwarz,1
Sugarhill Gang,1
Glen Campbell,1
Monty Python,1
Ronnie Laws,1
Donovan Carless,1
Harmonettes,1
Rose Tattoo,1
Ram Jam,1
Michael Nesmith,1
David Soul,1
B.J. Thomas,1
Randy California,1
Mocedades,1
The A's,1
Macondo,1
Focus,1
Don Covay,1
Lowell George,1
Brook Benton,1
David Essex,1
Thelma Houston,1
The Beat,1
Dixie Dregs,1
Sid Vicious,1
Lou Donaldson,1
Alex Chilton,1
Eggs Over Easy,1
Tommy Bolin,1
The Blackbyrds,1
Steve Goodman,1
Robert John,1
Clint Holmes,1
The Miracles,1
Axis,1
Joe Simon,1
The Adverts,1
The Cramps,1
Professor Longhair,1
Southside Johnny & The Asbury Jukes,1
African Music Machine,1
Jimmy Reed,1
Allen Toussaint,1
J.D. Souther,1
Conway Twitty,1
Les Dudek,1
John Handy,1
Sweathog,1
Albert Hammond,1
Dolly Parton,1
Roger Voudouris,1
Teddy Pendergrass,1
Commander Cody & His Lost Planet Airmen,1
Eric Weissberg,1
Magazine,1
Free Movement,1
Loretta Lynn,1
Ricky Nelson,1
Jefferson Airplane,1
Gino Vannelli,1
Johnnie Taylor,1
John Holt,1
A Taste Of Honey,1
Bootsy Collins,1
Clarence Wheeler & The Enforcers,1
White Plains,1
Jaco Pastorius,1
Brand X,1
Dobie Gray,1
Rick James,1
Jesse Colin Young,1
Cashman & West,1
The Go-Betweens,1
Kate Bush,1
Billy Swan,1
Richie Havens,1
Richard Thompson,1
Starland Vocal Band,1
McCoy Tyner,1
Larry Wallis,1
New York City,1
The Hollies,1
Anita Ward,1
Syl Johnson,1
Iggy Pop & James Williamson,1
Freddy Fender,1
Sad Cafe,1
Billy Cobham,1
The Flying Lizards,1
Genya Raven,1
George Duke,1
Bootsy's Rubber Band,1
Cymande,1
Eric Donaldson,1
John Hall,1
Ray Stevens,1
Michael Viner's Incredible Bongo Band,1
Audience,1
Pretty Things,1
C.W. McCall,1
Lene Lovich,1
Barbra Streisand/Donna Summer,1
The Dictators,1
Millie Jackson,1
Steve Miller,1
Edgar Winter Group,1
Stray,1
Camel,1
The Germs,1
Ian Gomm,1
The Bar-Kays,1
Iain Matthews,1
Cactus,1
Robin McNamara,1
Paul Revere & The Raiders,1
Bellamy Brothers,1
The 101ers,1
Frank Marino & Mahogany Rush,1
Godspell Cast,1
Pousette-Dart Band,1
Phil Manzanera,1
Bobby Charles,1
Ashford & Simpson,1
Albert King,1
Ernie Graham,1
The Melodians,1
Brewer & Shipley,1
Stackridge,1
Bill Bruford,1
Billy Thorpe,1
Quicksilver Messenger Service,1
Head East,1
Augustus Pablo,1
Bram Tchaikovsky,1
Daniel Boone,1
Bang,1
Hues Corporation,1
Sea Level,1
The Sensational Alex Harvey band,1
Steve Winwood,1
Marmalade,1
Heatwave,1
Plastic Bertrand,1
Stories,1
Lighthouse,1
Rick Derringer,1
Dead Kennedys,1
B. B. King,1
Night,1
Billy Brooks,1
Larry Graham & Graham Central Station,1
Howlin' Wolf,1
Betty Wright,1
Starz,1
Bryan Ferry,1
Carly Simon & James Taylor,1
Leon Redbone,1
The Arrows,1
Brass Construction,1
Paul Ray & The Cobras (feat. Stevie Ray Vaughan),1
Prince,1
U.K.,1
John Entwistle,1
R. Dean Taylor,1
The Residents,1
Wreckless Eric,1
The Five Stairsteps,1
Root Boy Slim & The Sex Change Band,1
Bobby Sherman,1
The Nerves,1
Phoebe Snow,1
Dave Loggins,1
Michael Nesmith & The First National Band,1
Elvin Bishop,1
Dennis Coffey,1
Spooky Tooth,1
The Selecter,1
"Lipps, Inc.",1
Rodney Crowell,1
The Intruders,1
J.J. Light,1
NEKTAR,1
Merle Haggard,1
National Lampoon,1
Gulliver,1
Lyn Collins,1
Idris Muhammed,1
Earth Wind and Fire,1
April Wine,1
Lou Rawls,1
Marshall Tucker Band,1
Dickie Goodman,1
The Emotions,1
The People's Choice,1
Tim Buckley,1
Tim Curry,1
Crack The Sky,1
Steve Martin,1
Fanny,1
Mick Jagger,1
Billy Paul,1
Charles Wright & The Watts 103rd Street Rhythm Band,1
Chuck Mangione,1
Hurricane Smith,1
The Rezillos,1
The Atlantics,1
U.F.O.,1
Mighty Diamonds,1
Long John Baldry,1
Hound Dog Taylor And The Houserockers,1
Little Beaver,1
Link Wray,1
Donny Osmond,1
Coven,1
Love Sculpture,1
Elizabeth Barraclaugh,1
Taste (featuring Rory Gallagher),1
Rainbow,1
Phil Ochs,1
Edwin Starr,1
Burning Spear,1
The Undisputed Truth,1
The Impressions,1
Brother Soul,1
Sugarloaf,1
Flamin' Groovies,1
Peaches & Herb,1
Major Harris,1
Beverly Bremers,1
James White And The Blacks,1
M,1
Philadelphia Phillies 1976,1
Wayne County & The Back Street Boys,1
The Manhattans,1
Luther,1
Silver Convention,1
Bloodstone,1
British Lions,1
The 8th Day,1
Karla Bonoff,1
Tommy James & The Shondells,1
Armageddon,1
Mick Taylor,1
Vanity Fare,1
Sandy Denny,1
Trapeze,1
"Evelyn ""Champagne"" King",1
Jean Knight,1
Loudon Wainwright III,1
Pacific Gas & Electric,1
Spinal Tap,1
Joe Tex,1
Anne Murray,1
Pure Prairie League,1
Gruppo Sportivo,1
Henry Cow,1
U.K. Subs,1
Pleasure,1
Ernie Hines,1
Shuggie Otis,1
Leon Russell & Marc Benno,1
David Crosby,1
The Four Seasons,1
Kingfish,1
The Motors,1
Maxine Nightingale,1
The 5th Dimension,1
Reunion,1
Nicolette Larson,1
