Title,Artist,Letter,Year
Court & Spark,Joni Mitchell,C,1974
Coyote,Joni Mitchell,C,1976
Crackerbox Palace,George Harrison,C,1976
Cracking Up,Nick Lowe,C,1979
Crazy Baldhead,Bob Marley & The Wailers,C,1976
Crazy Love,The Allman Brothers,C,1979
Crazy Love,Van Morrison,C,1970
Crazy Mama,J. J. Cale,C,1972
Crazy Mama,The Rolling Stones,C,1976
Crime Of The Century,Supertramp,C,1974
Crippled Inside,John Lennon,C,1971
Cross-eyed Mary,Jethro Tull,C,1971
Crosseyed Cat,Muddy Waters,C,1977
Cruel To Be Kind,Nick Lowe,C,1979
Cry Baby,Janis Joplin,C,1971
Cry Me A River,Joe Cocker,C,1970
Cry Tough,Nils Lofgren,C,1976
Cumberland Blues,Grateful Dead,C,1970
Custard Pie,Led Zeppelin,C,1975
Cut Across Shorty,Rod Stewart,C,1970
Cut My Hair,The Who,C,1979
Cut The Cake,Average White Band,C,1975
D.I.Y.,Peter Gabriel,D,1978
D'yer Mak'er,Led Zeppelin,D,1973
Damaged Goods,Gang Of Four,D,1979
Dance Away,Roxy Music,D,1979
Dance Little Sister,The Rolling Stones,D,1974
Dance Sister Dance,Santana,D,1976
Dancin' Fool,Frank Zappa,D,1979
Dancin' In The Streets,Grateful Dead,D,0
Dancing Barefoot,Patti Smith,D,0
Dancing Days,Led Zeppelin,D,1973
Dancing In The Moonlight,King Harvest,D,1973
Dancing In The Moonlight,Thin Lizzy,D,1977
Dancing Queen,Abba,D,1976
Dancing With Mr. D,The Rolling Stones,D,1973
Danger Man,David Bromberg,D,1974
Daniel,Elton John,D,1973
Dark Horse,George Harrison,D,1974
Dark Star,Crosby Stills & Nash,D,1977
Darkness On The Edge Of Town,Bruce Springsteen,D,1978
Day After Day,Badfinger,D,0
Day Of The Eagle,Robin Trower,D,1974
Day Or Night,Little Feat,D,1975
Deacon Blues,Steely Dan,D,1977
Dead Flowers,The Rolling Stones,D,1971
Dead Skunk,Loudon Wainwright III,D,1972
Deal,Jerry Garcia,D,0
Death or Glory,The Clash,D,1979
Deja Vu,Crosby Stills Nash & Young,D,0
Delta Lady,Leon Russell,D,0
Desperado,The Eagles,D,1973
Desperados Under The Eaves,Warren Zevon,D,1976
Detroit Breakdown,The J. Geils Band,D,1974
Diamond Dogs,David Bowie,D,1974
Diamonds And Rust,Joan Baez,D,1975
Dig A Pony,The Beatles,D,1970
Dinah Flo,Boz Scaggs,D,1972
Dirty Love,Frank Zappa,D,1973
Dirty Water,The Inmates,D,1979
Dirty Work,Steely Dan,D,1972
Disney Girls (1957),The Beach Boys,D,1971
Dixie Chicken,Little Feat,D,1973
Do Anything You Wanna Do,Eddie & The Hot Rods,D,1977
Do It ('til Your Satisfied),B. T. Express,D,0
Do It Again,Steely Dan,D,1972
Do The Do,Howlin' Wolf,D,1971
Do Ya,Electric Light Orchestra,D,1976
Do You Know What I Mean,Lee Michaels,D,0
Do You Wanna Dance?,The Ramones,D,1977
Doctor My Eyes,Jackson Browne,D,1972
Doctor Wu,Steely Dan,D,1975
Does This Bus Stop At 82nd Street,Bruce Springsteen,D,1972
Dogs,Pink Floyd,D,1977
Doing It To Death,James Brown,D,0
Domino,Van Morrison,D,1970
Don't Be Denied,Neil Young,D,0
Don't Bring Me Down,Electric Light Orchestra,D,1979
Don't Cry No Tears,Neil Young,D,0
Don't Do It,The Band,D,0
Don't Do Me Like That,Tom Petty & The Heartbreakers,D,1979
Don't Interrupt The Sorrow,Joni Mitchell,D,1975
Don't Let It Bring You Down,Neil Young,D,1970
Don't Let Me Be Lonely Tonight,James Taylor,D,1976
Don't Look Back,Boston,D,0
Don't Look Back,Peter Tosh,D,1978
Don't Mess Up A Good Thing,Ry Cooder,D,1979
Don't Stop,Fleetwood Mac,D,1977
Don't Take Me Alive,Steely Dan,D,1976
Don't You Worry Bout A Thing,Stevie Wonder,D,1973
Doo Doo Doo Doo Doo (Heartbreaker),The Rolling Stones,D,1973
Down By The Seaside,Led Zeppelin,D,1975
Down In The Flood,Bob Dylan,D,0
Down On The Street,The Stooges,D,0
Down The Road,Little Feat,D,1979
Down To The Waterline,Dire Straits,D,1978
Down To You,Joni Mitchell,D,1974
Down Where The Drunkards Roll,Richard & Linda Thompson,D,1974
Draggin' The Line,Tommy James & The Shondells,D,0
Dreadlock Holiday,10cc,D,1978
Dream Baby Dream,Suicide,D,0
Dream On,Aerosmith,D,1973
Dreamer,Supertramp,D,1974
Dreaming,Blondie,D,1979
Dreams,Fleetwood Mac,D,1977
Drift Away,Dobie Gray,D,1973
Drive Back,Neil Young,D,0
Drive-in Saturday,David Bowie,D,1973
Driver's Seat,Sniff N The Tears,D,1978
Duncan,Paul Simon,D,1972
Easy From Now On,Emmylou Harris,E,1978
Easy Now,Eric Clapton,E,1970
Easy Now,Hot Tuna,E,1974
Easy Skanking,Bob Marley & The Wailers,E,1978
Easy To Slip,Little Feat,E,1972
Edith And The Kingpin,Joni Mitchell,E,1975
El Condor Pasa (If I Could),Simon & Garfunkel,E,0
Elderberry Wine,Elton John,E,1973
Elected,Alice Cooper,E,1973
Eleventh Earl Of Mar,Genesis,E,1976
Empty Pages,Traffic,E,1970
Estimated Prophet,Grateful Dead,E,0
Even The Losers,Tom Petty & The Heartbreakers,E,1979
Ever Fallen In Love?,The Buzzcocks,E,0
Every Kind Of People,Robert Palmer,E,1978
Every Night,Paul McCartney,E,1970
Every Picture Tells A Story,Rod Stewart,E,1971
Everybody Loves The Sunshine,Roy Ayers,E,0
Everybody Plays The Fool,The Main Ingredient,E,0
Everybody's A Star,The Kinks,E,0
Everybody's Everything,Santana,E,0
Everybody's Happy Nowadays,The Buzzcocks,E,0
Everyone's Gone To The Movies,Steely Dan,E,1975
Evil Woman,Electric Light Orchestra,E,1975
Excitable Boy,Warren Zevon,E,1978
Exodus,Bob Marley & The Wailers,E,1977
Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,E,0
Eyes Of The World,Grateful Dead,E,0
Fall In Philadelphia,Hall & Oates,F,0
Fame,David Bowie,F,1975
Family Affair,Sly & The Family Stone,F,1971
Far Away Eyes,The Rolling Stones,F,1978
Fascination,David Bowie,F,1975
Fast Buck Freddie,Jefferson Starship,F,1975
Fat Man In The Bathtub,Little Feat,F,1973
Feats Don't Fail Me Now,Little Feat,F,1979
Feelin' Alright,Joe Cocker,F,1970
Fire,Ohio Players,F,1974
Fire On High,Electric Light Orchestra,F,1975
Fire On The Mountain,Grateful Dead,F,1978
Fish And Whistle,John Prine,F,1978
Five Years,David Bowie,F,0
Flashlight,Parliament,F,0
Fly Robin Fly,Silver Convention,F,1975
Follow You Follow Me,Genesis,F,1978
Fool To Cry,The Rolling Stones,F,1976
Fooled Again (I Don't Like It),Tom Petty & The Heartbreakers,F,1976
Footstompin' Music,Grand Funk Railroad,F,1971
For A Dancer,Jackson Browne,F,1974
For Everyman,Jackson Browne,F,1973
For The Love Of Money,The O'Jays,F,1973
For The Turnstiles,Neil Young,F,1974
For You,Bruce Springsteen,F,1972
For You Blue,The Beatles,F,1970
For Your Life,Led Zeppelin,F,1976
Forever Young,Bob Dylan,F,0
Fountain Of Sorrow,Jackson Browne,F,1974
Four Sticks,Led Zeppelin,F,1971
Frankenstein,Edgar Winter Group,F,1972
Freddie's Dead,Curtis Mayfield,F,1972
Free Man In Paris,Joni Mitchell,F,1974
Freeway Jam,Jeff Beck,F,1975
Fresh Air,Quicksilver Messenger Service,F,1970
Friend Of The Devil,Grateful Dead,F,1970
Friends,Led Zeppelin,F,1970
From The Beginning,Emerson Lake & Palmer,F,1972
Funeral For A Friend/Love Lies Bleeding,Elton John,F,1973
Funk #49,James Gang,F,1970
Funky Drummer,James Brown,F,0
Funky Kingston,Toots & The Maytals,F,1973
Funky Nassau,The Beginning Of The End,F,0
Funky President,James Brown,F,1974
Funky Pretty,The Beach Boys,F,1973
Funky Stuff,Kool & The Gang,F,0
Games People Play,The Spinners,G,1975
Gasoline Alley,Rod Stewart,G,1970
Georgia On My Mind,Willie Nelson,G,1978
Get Back,The Beatles,G,1970
Get It While You Can,Janis Joplin,G,1971
Get On The Good Foot,James Brown,G,0
Get Rhythm,NRBQ,G,1978
Get The Funk Out Ma Face,Brothers Johnson,G,0
Get Up Offa That Thing,James Brown,G,0
"Get Up, Stand Up",Bob Marley & The Wailers,G,1973
Getaway,Earth Wind & Fire,G,1976
Gettin' In Tune,The Who,G,1971
Girl Of My Dreams,Bram Tchaikovsky,G,1979
Give A Little Bit,Supertramp,G,1977
Give It To Me,The J. Geils Band,G,1973
Give It Up Or Let Me Go,Bonnie Raitt,G,1972
Give Me An Inch,Robert Palmer,G,1975
Give Me Just A Little More Time,Chairmen Of The Board,G,1970
Give Me Love,George Harrison,G,1973
Give Up The Funk (Tear The Roof Off The Sucker),Parliament,G,1975
Glad And Sorry,Faces,G,1973
Glendale Train,New Riders Of The Purple Sage,G,0
Gloria,Patti Smith,G,1975
Go All The Way,The Raspberries,G,0
Go Your Own Way,Fleetwood Mac,G,1977
God,John Lennon,G,1970
God Gave Rock And Roll To You,Argent,G,1973
God Save The Queen,The Sex Pistols,G,1977
Goin' Back,Nils Lofgren,G,0
Goin' Down To Laurel,Steve Forbert,G,1978
Going Down,Freddie King,G,0
Going Down,Jeff Beck,G,1972
Going For The One,Yes,G,1977
Going Mobile,The Who,G,1971
Going To California,Led Zeppelin,G,1971
Going To The Country,Steve Miller Band,G,1970
"Going, Going, Gone",Bob Dylan,G,0
Gold Dust Woman,Fleetwood Mac,G,1977
Golden Lady,Stevie Wonder,G,1973
Golden Years,David Bowie,G,1976
Gone At Last,Paul Simon,G,1975
Gone Gone Gone,Bad Company,G,1979
Gonna Change My Way Of Thinking,Bob Dylan,G,1979
Good Enough,Bonnie Raitt,G,1975
Good Lovin',Grateful Dead,G,1978
Good Morning Little School Girl,Muddy Waters,G,1978
Good Times Roll,The Cars,G,1978
Goodbye Stranger,Supertramp,G,1979
Goodbye Yellow Brick Road,Elton John,G,1973
Got To Get You Into My Life,Earth Wind & Fire,G,0
Got To Give It Up,Marvin Gaye,G,0
Gotta Get Up,Harry Nilsson,G,1971
Gotta Serve Somebody,Bob Dylan,G,1979
Green Earrings,Steely Dan,G,1976
Green Grass & High Tides,The Outlaws,G,1975
Green-Eyed Lady,Sugarloaf,G,0
Groove Me,King Floyd,G,0
Growing Up,Bruce Springsteen,G,1972
Had Me A Real Good Time,Faces,H,1971
Haitian Divorce,Steely Dan,H,1976
Half Moon,Janis Joplin,H,1971
Hand Of Fate,The Rolling Stones,H,1976
Hang Onto Yourself,David Bowie,H,0
Hanging On The Telephone,Blondie,H,0
Hanging On The Telephone,The Nerves,H,1976
