Title,Artist,Letter
Them Changes,Buddy Miles,T
"Theme from ""S.W.A.T.""",Rhythm Heritage,T
Theme From An Imaginary Western,Mountain,T
Theme from Good King Bad,George Benson,T
Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,T
Theme from Mahogany (Do You Know Where You're Going To),Diana Ross,T
Theme From Shaft,Isaac Hayes,T
Then Came You,The Spinners,T
There's A Light,The Doobie Brothers,T
There's A Place In The World For A Gambler,Dan Fogelberg,T
There's A World,Neil Young,T
There's No Way Out Of Here,David Gilmour,T
These Boots Are Made For Walkin',Pure Hell,T
These Days,Gregg Allman,T
These Days,Jackson Browne,T
These Dreams Of You,Van Morrison,T
They Love Each Other,Jerry Garcia,T
They Won't Go When I Go,Stevie Wonder,T
Thick As A Brick (Part I),Jethro Tull,T
Thick As A Brick (Part II),Jethro Tull,T
Thin Line Between Love & Hate,The Persuaders,T
Things Are Getting Better,Stone The Crows,T
Think (About It),Lyn Collins,T
Think About Me,Fleetwood Mac,T
Thinking Of The U.S.A.,Eater,T
Thirteen,Big Star,T
This Ain't The Summer Of Love,Blue Oyster Cult,T
This Flight Tonight,Joni Mitchell,T
This Guitar (Can't Keep from Crying),George Harrison,T
This Is It,Kenny Loggins,T
This Is Pop?,XTC,T
This Masquerade,George Benson,T
This Masquerade,Leon Russell,T
This Ol' Cowboy,Marshall Tucker Band,T
This Song Has No Title,Elton John,T
This Time,Waylon Jennings,T
This Time Tomorrow,The Kinks,T
This Town Ain't Big Enough For The Both Of Us,Sparks,T
This Town Ain't Big Enough For The Both Of Us,Sparks,T
This Will Be (An Everlasting Love),Natalie Cole,T
This Year's Girl,Elvis Costello,T
Three Button Hand Me Down,Faces,T
Three Little Birds,Bob Marley & The Wailers,T
Three Times A Lady,The Commodores,T
Thunder And Lightning,Chi Coltrane,T
Thunder And Rain,Graham Parker,T
Thunder Island,Jay Ferguson,T
Thunder Road,Bruce Springsteen,T
Thunder Thumbs & Lightning Licks,Brothers Johnson,T
Tidal Wave,Sea Level,T
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn,T
Tie Your Mother Down,Queen,T
Tight A$,John Lennon,T
Tight Rope,Leon Russell,T
Till It Shines,Bob Seger & The Silver Bullet Band,T
Till The Morning Comes,Grateful Dead,T
Till The Next Goodbye,The Rolling Stones,T
Time,Pink Floyd,T
Time Has Told Me,Nick Drake,T
Time In A Bottle,Jim Croce,T
Time Is Running Out,Steve Winwood,T
Time Loves A Hero,Little Feat,T
Time Table,Genesis,T
Time To Hide,Wings,T
Time To Kill,Gentle Giant,T
Time To Kill,The Band,T
Time Tough,Toots & The Maytals,T
Time Waits For No One,Ambrosia,T
Time Waits For No One,The Rolling Stones,T
Time Warp,The Rocky Horror Picture Show,T
Timepiece,Bloodrock,T
Timothy,The Buoys,T
Tin Man,America,T
Tiny Dancer,Elton John,T
Tired Eyes,Neil Young,T
Tired Of Being Alone,Al Green,T
To Cry You A Song,Jethro Tull,T
To Each His Own,"Faith, Hope & Charity",T
