Artist,Title
Iggy Pop,Five Foot One
Iggy & The Stooges,Search And Destroy
Michael Kiwanuka,Love & Hate
Arctic Monkeys,One For The Road
Childish Gambino,Redbone
The xx,On Hold
The xx,On Hold
William DeVaughn,Be Thankful For What You've Got
Norah Jones,Flipside
R. E. M.,Losing My Religion
Middle Kids,Your Love
Pete Donnelly,"""John's Dollar Bin"" intro"
Michael Nesmith,Cruisin'
Heart,Crazy On You
Haim,The Wire
Bangles,Walk Like An Egyptian
The Breeders,Cannonball
Tegan And Sara,Back In Your Head
The Plimsouls,A Million Miles Away
The Menzingers,Lookers
Mike Doughty,Busting Up A Starbucks
The Shins,Dead Alive
Jim James,Here In Spirit
Curtis Mayfield,Freddie's Dead
John Mayer,Love on the Weekend
Sting,I Can't Stop Thinking About You
Paul McCartney & Wings,Jet
Foals,Mountain At My Gates
The Flaming Lips,The Castle
Frank Ocean,Pink + White
The Blue Nile,Stay
Honus Honus,Oh No!
Brent Cobb,Solving Problems
Franz Ferdinand,Take Me Out
Lucius,Turn It Around
The Frightnrs,Nothing More To Say
David Gray,Sail Away
Matt Santry,Taking My Turn
Jack Johnson,"Sitting, Waiting, Wishing"
Amanda Shires,When You're Gone
Bob Dylan,Shelter From The Storm
Mondo Cozmo,Shine
Chuck Prophet,Bad Year for Rock and Roll
Chicago Transit Authority,I'm A Man
Joseph,White Flag
Eurythmics,Missionary Man
Rag 'N' Bone Man,Human
Grateful Dead,Dancin' In The Streets
The Orlons,South Street
Arthur Conley,Funky Street
Dave Matthews Band,Grey Street
Garland Jeffreys,Wild In The Streets
The Doobie Brothers,Takin' It To The Streets
U2,Where The Streets Have No Name
Bruce Springsteen,Racing In The Streets
Valerie June,Astral Plane
Steely Dan,Bodhisattva
Nickel Creek,Destination
Sanford Townsend Band,Smoke From A Distant Fire
Peter Gabriel,Red Rain
Michael Kiwanuka,Love & Hate
The Pretenders,Mystery Achievement
The Pretenders,Never Be Together
The Pretenders,Holy Commotion
Lindsey Buckingham,Trouble
John Eddie,Pretty Little Rebel
Dawg Yawp,Lost At Sea
The Jayhawks,Blue
The Head And The Heart,All We Ever Knew
Warpaint,New Song
XTC,Generals & Majors
Lotus,Eats The Light
Bonnie Raitt,Gypsy In Me
Deep Purple,Smoke On The Water
Joseph Arthur,Saint of Impossible Causes
Stone Temple Pilots,Sour Girl
Gandalf Murphy & The Slambovian Circus Of Dreams,Pushin' Up Daises
Genesis,Dancing With The Moonlight Knight
Nathaniel Rateliff & The Night Sweats,SOB
Tommy Conwell & The Young Rumblers,I'm Not Your Man
Nick Jameson,Already Free
The New Pornographers,My Rights Versus Yours
Paul Simon,Train In The Distance
Weezer,Say It Ain't So
Red Hot Chili Peppers,Go Robot
The Byrds,Wasn't Born To Follow
The Avett Brothers,"Head Full of Doubt, Road Full of Promise"
Diane Birch,How Long
Dawes,Roll With The Punches
Faces,Miss Judy's Farm
Gordon Lightfoot,Carefree Highway
Darlingside,1979
Aloe Blacc,I Need A Dollar (How To Make It In America)
St. Paul & The Broken Bones,Call Me
Nick Waterhouse,Katchi
The Rolling Stones,Just Your Fool
Little Walter,Crazy Mixed Up World
Pearl Jam,Wishlist
Neil Young,Peace Trail
Nick Drake,Pink Moon
Solange,Cranes In The Sky
Jeff Buckley,Everyday People
Jeff Buckley,Everybody Here Wants You
Jeff Buckley,Last Goodbye
Jeff Buckley,Grace
Beach Slang,Spin The Dial
Chuck Prophet,Bad Year for Rock and Roll
Fujiya & Miyagi,Outstripping (The Speed Of Light)
Nazz,Open My Eyes
Robert Randolph & The Family Band,Going In The Right Direction
Car Seat Headrest,Vincent
Balance and Composure,Call It Losing Touch
Polica,Dark Star
Jim James,Here In Spirit
Sting,I Can't Stop Thinking About You
Tracy Chapman,New Beginning
Jethro Tull,Teacher
Bash & Pop,On The Rocks
Billie Holiday,God Bless The Child
Amy Winehouse,You Know I'm No Good
Frank Ocean,Pink + White
Al Green,Love And Happiness
Joni Mitchell,In France They Kiss On Main Street
Mondo Cozmo,Shine
Susan Tedeschi,Gonna Move
Steve Gunn,Ancient Jules
Milky Chance,Cocoon
TV On The Radio,Golden Age
TV On The Radio,Golden Age
The Decemberists,The Perfect Crime #2
The Shins,Dead Alive
The Allman Brothers,Trouble No More
Chris Robinson Brotherhood,Leave My Guitar Alone
The Stray Birds,Shining In The Distance
Alison Krauss,Forget About It
Parquet Courts,Berlin Got Blurry
Courtney Barnett,Dead Fox
The Go! Team,Ladyflash
Sylvan Esso,Radio
Joseph,SOS (Overboard)
R. E. M.,Man On The Moon
Django Django,Default
Amos Lee,Running Out Of Time
Stevie Wonder,Too High
Corinne Bailey Rae,Put Your Records On
Brent Cobb,Solving Problems
Sarah McLachlan,Adia
Kate Bush,Wuthering Heights
The Growlers,I'll Be Around
Lydia Loveless,Longer
Josh Ritter,Mind's Eye
Little Feat,Cold Cold Cold/Tripe Face Boogie
The Head And The Heart,Rhythm & Blues
Common,A Letter To the Free
The Velvelettes,He Was Really Sayin' Somethin'
Phish,Breath and Burning
Kings Of Leon,Waste A Moment
The Marcus King Band,Ain't Nothing Wrong With That
Talking Heads,Crosseyed And Painless
Aaron Lee Tasjan,Little Movies
Colvin & Earle,You're Right (I'm Wrong)
Fleetwood Mac,Think About Me
Rag 'N' Bone Man,Human
Barenaked Ladies,Jane
Michael Kiwanuka,Love & Hate
The Cult,She Sells Sanctuary
Shelby Lynne,Your Lies
Joe Jackson,Chinatown
The Contours,Do You Love Me?
The Kinks,Celluloid Heroes
Mark Knopfler,I Used To Could
Margaret Glaspy,You & I
"Bobby ""Blue"" Bland",Farther On Up The Road
The Pixies,Here Comes Your Man
Shovels & Rope,I Know
Devo,(I Can't Get No) Satisfaction
Mayer Hawthorne,Someone Like You
Jose Gonzalez,Heartbeats
The xx,On Hold
Neil Young,Peace Trail
The Beatles,I'm So Tired
The Hold Steady,Sequestered In Memphis
Sun Ra & His Arkestra,Super Blonde
Belle & Sebastian,Judy Is A Dick Slap
