Artist,Title
Foxygen,Follow The Leader
Kings Of Leon,Waste A Moment
Faces,Stay With Me
John Mayer,Waiting On The World To Change
Leonard Cohen,You Want It Darker
Cee Lo Green,Forget You
The Clash,This Is Radio Clash
The Pretenders,Holy Commotion
Hamilton Leithauser + Rostam,A 1000 Times
Guster,Fa Fa
Horace Silver,Filthy McNasty
Hiss Golden Messenger,Highland Grace
The Staple Singers,"Swing Low, Sweet Chariot"
M. Ward,I'm Listening (Child's Theme)
Laura Gibson,The Search for Dark Lake
The Velvet Underground,I'll Be Your Mirror
Ultimate Painting,Set Me Free
Jonathan Richman,These Bodies That Came to Cavort
Dory Previn,Lover Lover Be My Cover
Andrew Bird,Truth Lies Low
Howe Gelb,Terribly So
John Zorn,Kisofim
"Crosby, Stills & Nash",In My Dreams
Glenn Jones,Close to the Ground
Ryley Walker,The Great and Undecided
Art Blakey,Pisces
Frankie Reyes,Noche de Ronda
Hope Sandoval & The Warm Inventions,The Hiking Song
Richard & Linda Thompson,I'll Regret It All in the Morning
Joan Shelley,Here and Whole
Ryan Adams,Sweet Lil Gal (23rd/1st)
Patsy Cline,Lonely Street
Gillian Welch,I Don't Want to Go Downtown (Revival Outtake)
Iron & Wine,Lovesong of the Buzzard
Band of Horses,Even Still
Neko Case,A Widow's Toast
Keith Jarrett,"Over the Rainbow (Live at Teatro Carlo Felice, Geneva / 1996)"
Norah Jones,And Then There Was You
Brent Cobb,Shine On Rainy Day
Tony Joe White,Copper Kettle (The Pale Moonlight)
Colvin & Earle,You're Still Gone
Leon Russell,I'm Afraid the Masquerade is Over
Nat Adderley,Mean to Me
Cory Hanson,Evening Glass
Pentangle,The Trees They Do Grow High [alt. version]
Bibio,Saint Thomas
Les Paul & Mary Ford,Whither Thou Goest
Papa M,DLVD
The Beatles,I Will
Tony Bennett,The Shadow Of Your Smile
Johhny Hartman,The World Was Mine
Bob Dylan,Boots Of Spanish Leather
Ryley Walker,4th Time Around
Neko Case,Vengeance Is Sleeping
Aimee Mann,Wise Up
Neil Young,Tumbleweed
Graham Nash,Golden Days
David Crosby,The Us Below
Diana Krall,Frim Fram Sauce
Chris Smither,No Love Today
Harry McClintock,Big Rock Candy Mountain
The Milk Carton Kids,Years Gone By
Simon & Garfunkel,Bridge Over Troubled Water (Demo)
Beatles,I Will
John Denver,Back Home Again
George Winston,Rememberance
Van Morrison,Pagan Streams
Brian Eno,Always Returning I
Soren Juul,Epic Moon
Sarah Vaughan,Medley:Time/Tenderly
Natalie Merchant,San Andreas Fault
Norah Jones,Sleeping Wild
Alex de Grassi,Mirage
Andras Schiff,"Andante:Sonata in C Major, D840 (Schubert)"
Frode Thorsen/Hans Knut Sveen/Jane Odriozola,"Sonata in F Major, HWV 369 (Handel)"
Pulse Emitter,Live at the Chapel
B Ashra,Venus Meditation (excerpt)
Trevor Gordon Hall,Himinn
Byron Metcalf,As Clouds Dance
George Wallace,It Is
Weingarten/Charlton,Comfort in Silence
Robert Rich,Obscured by Leaf Shadows
Phillippe Petit,You Only Live Ice (excerpt)
Council Estate Electronics,Liquified Natural Gas
Kaitlyn Aurelia Smith/Suzanne Ciani,Closed Circuit (edit)
Edgar Froese,Maroubra Bay
Chuck van Zyl,Until the Kingdom Comes 1 2 3
Daniel Lanois/Rocco Deluca,Satie
No Mask Effect,Karen
Hennie Bekker,Self Connect
Peter Vasks/Voces8,The Fruit of Silence
K Markov,To the Unknown (edit)
The Orb,"First, Consider the Lilies"
TJ Porter,The Outsider
Ian Boddy,Quantum of Memory
James Murray,The Black and the Grey
Peter Challoner,Sono Luminarium (excerpt)
Forma,Wanderer Imitates a Cloud
Dean DeBenedictis,Never the Sacred Stretch
loscil,Monument Builders
Spyra,Flur
Steve Hauschildt,Same River Twice
