Artist,Title
Stevie Wonder,That Girl
Cage The Elephant,Mess Around
Dawes,When the Tequila Runs Out
Psychedelic Furs,Pretty In Pink
Alexi Murdoch,Orange Sky
Chuck Prophet,Bad Year for Rock and Roll
Brent Cobb,Solving Problems
Eric Clapton,Blues Power
John Prine,Hello In There
Jamie xx,Obvs
Dennis Wilson,Holy Man
Bar Scott,Grace
