Artist,Title,Album,Air Time
Brandi Carlile,Wherever Is Your Heart,The Firewatcher's Daughter,2023-12-09 13:12:47
Joni Mitchell,Court & Spark,Court & Spark,2023-12-09 13:09:58
Lucinda Williams,Lake Charles,Car Wheels On A Gravel Road,2023-12-09 13:04:37
Mary J. Blige,Family Affair,No More Drama,2023-12-09 12:58:27
Blondie,The Tide Is High,Autoamerican,2023-12-09 12:53:21
Barbra Streisand,Don't Rain On My Parade,Funny Girl (original Soundtrack Recording),2023-12-09 12:49:29
Sarah McLachlan,Building A Mystery,Surfacing,2023-12-09 12:45:18
Portishead,Glory Box,Dummy,2023-12-09 12:40:31
Le Tigre,Deceptacon,Le Tigre,2023-12-09 12:35:04
Lucinda Williams,Righteously,World Without Tears,2023-12-09 12:31:10
Dar Williams,Iowa,Mortal City,2023-12-09 12:26:00
Stevie Nicks,Stop Draggin' My Heart Around (ft. Tom Petty),Bella Donna,2023-12-09 12:22:27
Phoebe Bridgers,I Know The End,Punisher,2023-12-09 12:14:23
Hole,Celebrity Skin,Celebrity Skin,2023-12-09 12:10:58
Kacey Musgraves,Slow Burn,Golden Hour,2023-12-09 12:07:03
Sonic Youth,Kool Thing,Goo,2023-12-09 12:00:47
Labelle,Lady Marmalade,Var-pure Funk,2023-12-09 11:57:31
Lucinda Williams,Sweet Old World,Sweet Old World,2023-12-09 11:53:04
Margo Price,Hands of Time,Midwest Farmer's Daughter,2023-12-09 11:47:04
Gillian Welch,Look at Miss Ohio,Soul Journey,2023-12-09 11:41:43
Donna Summer,Last Dance,Thank God It's Friday (soundtrack),2023-12-09 11:38:26
Madonna,Borderline,Madonna,2023-12-09 11:33:22
Valerie June,Call Me A Fool,The Moon and Stars: Prescriptions For Dreamers,2023-12-09 11:28:28
Siouxsie & The Banshees,Kiss Them For Me,Superstition,2023-12-09 11:24:02
The Go-Go's,Our Lips Are Sealed,Beauty And The Beat,2023-12-09 11:21:23
Bonnie Raitt,Just Like That,Just Like That,2023-12-09 11:15:25
Neko Case,This Tornado Loves You,Middle Cyclone,2023-12-09 11:12:14
Joan Armatrading,Show Some Emotion,Show Some Emotion,2023-12-09 11:09:00
Sarah McLachlan,Hold On,Fumbling Toward Ecstasy,2023-12-09 11:04:30
Fleetwood Mac,The Chain,Rumours,2023-12-09 10:58:36
Lucy Dacus,Night Shift,Historian,2023-12-09 10:51:41
Edie Brickell & The New Bohemians,What I Am,Shooting Rubberbands At The Stars,2023-12-09 10:45:28
Alanis Morissette,All I Really Want,Jagged Little Pill,2023-12-09 10:40:57
Mary Chapin Carpenter,Passionate Kisses,Come On Come On,2023-12-09 10:37:36
Grace Jones,Pull Up To The Bumper,Nightclubbing,2023-12-09 10:31:56
Yeah Yeah Yeahs,Gold Lion,Show Your Bones,2023-12-09 10:28:48
Dusty Springfield,I Only Want To Be With You,(single),2023-12-09 10:26:15
Donna Summer,On The Radio,Bad Girls,2023-12-09 10:19:35
Indigo Girls,Ghost,Rites of Passage,2023-12-09 10:14:38
Allison Russell,Nightflyer,Outside Child,2023-12-09 10:10:16
Sade,By Your Side,Lover's Rock,2023-12-09 10:05:48
Patty Griffin,Making Pies,1000 Kisses,2023-12-09 10:00:30
 Lisa Loeb, A Dream is a Wish Your Jeart Makes, Lullaby Girls,2023-12-09 09:56:24
 Amy Helm, Gloryland,  This Too Shall Light,2023-12-09 09:39:18
 k tuntall," Invisible E,pire",Invisible/Crescent Moon,2023-12-09 09:26:13
 the Poatmarks , winter spring  summer fall,  the  Postmarks,2023-12-09 09:19:01
Sean Tyrell, November Rain, Cry of a Dreamer,2023-12-09 09:13:59
 Cllaire Jones,  Flower Duet, Royal Harp Strings,2023-12-09 09:08:05
 Rhe Rifters, That Lucky Old Son, The Enchanter Wprlld,2023-12-09 08:58:45
 Hoagy Carmichael, Baltimore Oriole, Hoagy  sings   Carmichael,2023-12-09 08:48:21
 Perpetual Motion, Harvest <oon, Rearview,2023-12-09 08:38:53
 Simon & Garfunkel, Leaves That Are Green, Sounds of Silence,2023-12-09 08:35:23
 Michael Guleziuan, Amber Waves  Goodbye, Distant Memories and Dreams,2023-12-09 08:28:58
 Jeff Herge, AutumnSnow, Jeff Herge,2023-12-09 08:22:21
 Al Jewer  and  Andy Mitran, Quiet Waters, Transmigration,2023-12-09 08:08:20
 David Holt, Slow Food, Slide,2023-12-09 07:57:36
 Nikki Talley, Rainy Day, Out From thw Harbor,2023-12-09 07:52:55
  Christie  McCall, Coming Back to Me, Don't Look Back,2023-12-09 07:47:41
  Jesse Terry,  Close My Eyes, NATURAL,2023-12-09 07:41:56
 Eliza Gilkyson, True North, Home,2023-12-09 07:36:10
 Richard Hawley, Sheffield  on Sea, Valentine,2023-12-09 07:28:41
 Tim Farrell, Internal Equinox, CSCdia,2023-12-09 07:23:01
 Judy Collins, Blue River, Wildflower Festival,2023-12-09 07:17:27
 Rob Kneisler, Skipping Stones Across the Milky Way,  lift me up,2023-12-09 07:11:55
Bill Frisell," Tell Your Ma, Tell Your Pa", Ghost Town,2023-12-09 07:00:21
 Dando Shaft, In the Country,  .....  an evening with,2023-12-09 06:52:52
 Will Ackerman, Big Thing in the Sky,  Relaxation,2023-12-09 06:44:55
 the dotted eyes, one night, wpndering and worrying,2023-12-09 06:42:03
Truckstop Souvenir, Rodeo, Under a Big Blue Sky ,2023-12-09 06:35:28
 True North," Seed, Leaf, Flower, Seed", Open Road Broken Heart,2023-12-09 06:30:00
 Blake Meister, Sunset, SEPTAGON,2023-12-09 06:23:21
 Ben Weaver,  i  November, Paper Sky,2023-12-09 06:21:02
 William Jackson, Harvest of the Fallen, Celtic Tranquility,2023-12-09 06:15:03
 Harmonius Wait, Swing Slow, Live at the Zelt  Music Festival,2023-12-09 06:10:28
 Neil Tatar + David Darling, Whwrw Did the Time Go, Where did the Time Go,2023-12-09 06:04:11
Byron Metcalf,garden of the peaceful warrior,The Story of Inner Rhythm Meditations,2023-12-09 06:00:56
Grand Funk Railroad,Footstompin' Music,E Pluribus Funk,2023-12-09 05:56:16
Leon Bridges,Motorbike,Gold-Diggers Sound,2023-12-09 05:53:09
Red Hot Chili Peppers,Dani California,Stadium Arcadium,2023-12-09 05:48:33
IDLES,Dancer (ft. LCD Soundsystem),TANGK,2023-12-09 05:45:25
Laufey,From The Start,Bewitched,2023-12-09 05:42:39
Semisonic,The Rope,Little Bit of Sun,2023-12-09 05:40:13
Husker Du,I Apologize,New Day Rising,2023-12-09 05:36:36
Devon Gilfillian,Love You Anyway,Love You Anyway,2023-12-09 05:32:51
"Slaughter Beach, Dog",Strange Weather,Crying Laughing Waving Smiling,2023-12-09 05:29:30
Jack Johnson,Good People,In Between Dreams,2023-12-09 05:26:05
Lissie,Night Moves,Carving Canyons,2023-12-09 05:23:05
Yard Act,Dream Job,Where's My Utopia?,2023-12-09 05:20:24
Blondie,Call Me,American Gigolo,2023-12-09 05:12:28
Sufjan Stevens,Will Anybody Ever Love Me,Javelin,2023-12-09 05:08:19
Neil Young,Don't Cry No Tears,Zuma,2023-12-09 05:05:51
Ducks Ltd.,The Main Thing,Harm's Way,2023-12-09 05:02:55
The Cars,Since You're Gone,Shake It Up,2023-12-09 04:59:33
Sam Phillips,Baby I Can't Please You,Martinis & Bikinis,2023-12-09 04:55:48
"Christone ""Kingfish"" Ingram",Midnight Heat,Live In London,2023-12-09 04:50:21
The Raconteurs,Sunday Driver,Help Us Stranger,2023-12-09 04:46:46
Bully,Hard to Love,Lucky for You,2023-12-09 04:44:21
The Beatles,I Want You (She's So Heavy),Abbey Road,2023-12-09 04:36:36
joe p,Don't Wanna Love U,single,2023-12-09 04:33:12
Deeper,Glare,Careful!,2023-12-09 04:29:20
Ray Barretto,A Deeper Shade Of Soul,Acid,2023-12-09 04:26:16
Feist,Borrow Trouble,Multitudes,2023-12-09 04:22:15
Jose James,38th & Chicago,1978,2023-12-09 04:16:44
David Bowie,Kooks,Hunky Dory,2023-12-09 04:14:02
Squirrel Flower,Alley Light,Tomorrow's Fire,2023-12-09 04:10:56
Happy Mondays,Step On,Pills 'n Thrills And Bellyaches,2023-12-09 04:05:15
Mitski,My Love Mine All Mine,The Land is Inhospitable and So Are We,2023-12-09 04:03:06
Modest Mouse,Float On,Good News For People Who Love Bad News,2023-12-09 03:59:39
Carly Cosgrove,Munck,See You In Chemistry,2023-12-09 03:54:37
Slow Pulp,Doubt,Yard,2023-12-09 03:52:02
Pearl Jam,Dance of the Clairvoyants,Gigaton,2023-12-09 03:47:40
The Last Dinner Party,Sinner,Prelude to Ecstasy,2023-12-09 03:44:43
Hozier,Francesca,Unreal Unearth,2023-12-09 03:40:19
Love and Rockets,No New Tale To Tell,"Earth, Sun, Moon",2023-12-09 03:36:50
Florry,Drunk and High,The Holey Bible,2023-12-09 03:34:40
U2,Atomic City,(single),2023-12-09 03:31:15
Dawes,Who Do You Think You're Talking To?,Good Luck With Whatever,2023-12-09 03:28:06
Sharon Van Etten & Angel Olsen,Like I Used To,Like I Used To (single),2023-12-09 03:24:11
Kurt Vile,Another Good Year for the Roses,Back to Moon Beach EP,2023-12-09 03:18:40
Jonathan Richman,You're Crazy For Taking The Bus,Jonathan Goes Country,2023-12-09 03:16:13
Say She She,Questions,Silver,2023-12-09 03:12:44
R. E. M.,Everybody Hurts,Automatic For The People,2023-12-09 03:07:32
Black Pumas,Mrs. Postman,Chronicles Of A Diamond,2023-12-09 03:03:34
Electric Light Orchestra,Turn To Stone,Out Of The Blue,2023-12-09 02:59:53
I Do The Same For You~,I Do The Same For You~,W.C. Recording,2023-12-09 02:55:45
Beck & Phoenix,Odyssey,(single),2023-12-09 02:52:28
Elvis Costello,Accidents Will Happen,Armed Forces,2023-12-09 02:49:32
Torres,Collect,What an enormous room,2023-12-09 02:46:36
The Chemical Brothers,Galvanize (feat. Q-Tip),Push The Button,2023-12-09 02:42:09
The Killers,Your Side of Town,Rebel Diamonds,2023-12-09 02:39:06
Traffic,Dear Mr. Fantasy,Mr. Fantasy,2023-12-09 02:33:34
The Menzingers,Come On Heartache,Some Of It Was True,2023-12-09 02:30:48
The Rolling Stones,Angry,Hackney Diamonds,2023-12-09 02:27:07
Erma Franklin,Piece Of My Heart,Var-oxford American,2023-12-09 02:24:36
Margaret Glaspy,Get Back,Echo the Diamond,2023-12-09 02:20:54
Rod Stewart,Mandolin Wind,Every Picture Tells A Story,2023-12-09 02:15:26
Lizzie No,Lagunita,Halfsies,2023-12-09 02:11:36
The Jam,The Bitterest Pill (I Ever Had to Swallow),Snap!,2023-12-09 02:08:11
Blur,Barbaric,The Ballad of Darren,2023-12-09 02:04:08
Coldplay,In My Place,A Rush of Blood to the Head,2023-12-09 02:00:25
Mort Garson,Plantasia,Mother Earth's Plantasia,2023-12-09 01:57:26
Mott The Hoople,All The Young Dudes,All The Young Dudes,2023-12-09 01:54:01
Shilpa Ray,Heteronormative H.S. Blues,Portrait of a Lady,2023-12-09 01:47:52
Porridge Radio,Back to the Radio,"Waterslide, Diving Board, Ladder to the Sky",2023-12-09 01:44:51
Harp,Throne of Amber,Albion,2023-12-09 01:40:43
Indigo De Souza,Smog,All of This Will End,2023-12-09 01:36:15
Cola,Blank Curtain,Deep in View,2023-12-09 01:32:28
Sinkane,Everything is Everything,single,2023-12-09 01:28:21
bar italia,Hi fiver,The Twits,2023-12-09 01:23:34
La Luz,The Pines,La Luz,2023-12-09 01:20:52
Belle and Sebastian,Give a Little Time,Late Developers,2023-12-09 01:17:31
A Giant Dog,I Believe,Indie Rock Hit Parade Live Session,2023-12-09 01:13:11
Santigold,The Keepers,Master of My Make Believe,2023-12-09 01:09:30
Bolis Pupul,Completely Half,Letter to Yu,2023-12-09 01:05:48
Ian Sweet,Smoking Again,SUCKER,2023-12-09 01:01:01
Civic,Hourglass,New Vietnam & Singles,2023-12-09 00:57:47
SASAMI,Call Me Home,Squeeze,2023-12-09 00:53:07
The Veldt,The Everlasting Gobstopper,Illuminated 1989,2023-12-09 00:48:29
Annie Hart,Boy You Got Me Good,The Weight of a Wave,2023-12-09 00:44:58
Fujiya & Miyagi,Collarbone,Transparent Things,2023-12-09 00:40:58
Future Islands,The Fight,People Who Aren't There Anymore,2023-12-09 00:36:33
Algiers,I Can't Stand It! (feat. Samuel T. Herring & Jae Matthews),SHOOK,2023-12-09 00:32:23
Jay Som,Baybee,Everybody Works,2023-12-09 00:28:50
Chastity Belt,Hollow,Live Laugh Love,2023-12-09 00:24:56
Genesis Owusu,Survivor,STRUGGLER,2023-12-09 00:21:24
Billy Bragg,Greetings to the New Brunette,Talking With The Taxman,2023-12-09 00:17:52
The Umbrellas,Echoes,Fairweather Friend,2023-12-09 00:14:37
Pure Bathing Culture,The Sun,Chalice,2023-12-09 00:10:32
Clever Girls,Saturn,Constellations,2023-12-09 00:07:03
Deeper,Fame,Careful!,2023-12-09 00:04:09
Katy Kirby,Party of the Century,Blue Raspberry,2023-12-09 00:00:19
