Artist,Title,Album,Air Time
Ben Folds Five,Army,The Unauthorized Biography Of Reinhold Messner,2022-12-01 15:04:48
Aaliyah,Are You That Somebody,Dr. Dolittle Soundtrack,2022-12-01 15:00:26
Dar Williams,Are You Out There,End Of Summer,2022-12-01 14:56:54
Lenny Kravitz,Are You Gonna Go My Way,Are You Gonna Go My Way?,2022-12-01 14:52:01
Rufus Wainwright,April Fools,Rufus Wainwright,2022-12-01 14:46:53
Erykah Badu,Apple Tree,Baduizm,2022-12-01 14:42:36
Enya,Anywhere Is,The Memory Of Trees,2022-12-01 14:36:55
Dave Matthews Band,Ants Marching,Under The Table And Dreaming,2022-12-01 14:28:10
The Poozies,Another Train,Chantoozies,2022-12-01 14:22:27
Toni Braxton,Another Sad Love Song,Toni Braxton,2022-12-01 14:17:29
Real McCoy,Another Night,Another Night,2022-12-01 14:13:36
Cowboy Junkies,Anniversary Song,"Pale Sun, Crescent Moon",2022-12-01 14:08:55
Counting Crows,Anna Begins,August And Everything After,2022-12-01 14:03:45
Suede,Animal Nitrate,Suede,2022-12-01 14:00:34
POE,Angry Johnny,Hello,2022-12-01 13:55:41
Ani DiFranco,Angry Anymore,Up Up Up Up Up Up,2022-12-01 13:52:21
Bonnie Raitt & John Prine,Angel From Montgomery,The Bonnie Raitt Collection,2022-12-01 13:47:14
Sarah McLachlan,Angel,Surfacing,2022-12-01 13:42:54
Luna,Anesthesia,Lunapark,2022-12-01 13:39:10
Lenny Kravitz,American Woman (Timbaland Remix),(single),2022-12-01 13:34:42
Violent Femmes,American Music,Why Do Birds Sing?,2022-12-01 13:31:04
Francis Dunnery,American Life In The Summertime,Fearless,2022-12-01 13:26:57
Bad Religion,American Jesus,Recipe For Hate,2022-12-01 13:23:46
Love Spit Love,Am I Wrong (Angus version),Angus Soundtrack,2022-12-01 13:19:37
Grandaddy,A.M. 180,Under The Western Freeway,2022-12-01 13:16:12
Lenny Kravitz,Always On The Run,Mama Said,2022-12-01 13:06:56
Mariah Carey,Always Be My Baby,Daydream,2022-12-01 13:02:38
Supergrass,Alright,I Should Coco,2022-12-01 12:59:43
Jamiroquai,Alright,Travelling Without Moving,2022-12-01 12:54:53
Elvis Costello,All This Useless Beauty,All This Useless Beauty,2022-12-01 12:45:41
World Party,All The Young Dudes,Ost - Clueless,2022-12-01 12:35:11
Prefab Sprout,All The World Loves Lovers,Jordan: The Comeback,2022-12-01 12:29:45
The Subdudes,All The Time In The World,Primitive Streak,2022-12-01 12:25:14
blink-182,All The Small Things,Enema of the State,2022-12-01 12:20:51
John Prine,All The Best,The Missing Years,2022-12-01 12:17:22
Ace Of Base,All That She Wants,The Sign,2022-12-01 12:13:56
The Replacements,All Shook Down,All Shook Down,2022-12-01 12:09:19
Bruce Springsteen,All Or Nothin' At All,Human Touch,2022-12-01 12:05:22
311,All Mixed Up,311,2022-12-01 12:02:24
Toad The Wet Sprocket,All I Want,Fear,2022-12-01 11:58:40
Alanis Morissette,All I Really Want,Jagged Little Pill,2022-12-01 11:48:20
Air,All I Need,Moon Safari,2022-12-01 11:44:14
Kirsty MacColl,All I Ever Wanted,Electric Landlady,2022-12-01 11:40:38
Sister Hazel,All For You,...Somewhere More Familiar,2022-12-01 11:30:07
Color Me Badd,All For Love,C.M.B.,2022-12-01 11:26:44
Rosanne Cash,All Come True,Interiors: The Full Sessions,2022-12-01 11:19:31
Oasis,All Around The World,Be Here Now,2022-12-01 11:09:59
Sinead O'Connor,All Apologies,Universal Mother,2022-12-01 11:07:30
Nirvana,All Apologies,MTV Unplugged In New York,2022-12-01 11:02:44
Nirvana,All Apologies,In Utero,2022-12-01 10:58:25
Puff Daddy & The Family,All About The Benjamins,No Way Out,2022-12-01 10:52:34
Pearl Jam,Alive,Ten,2022-12-01 10:46:42
Ben Folds Five,Alice Childress,Ben Folds Five,2022-12-01 10:42:20
Pixies,Alec Eiffel,Trompe Le Monde,2022-12-01 10:38:41
Howlin' Maggie,Alcohol,Honeysuckle Strange,2022-12-01 10:34:02
Radiohead,Airbag,OK Computer,2022-12-01 10:29:22
John Prine,Ain't Hurtin' Nobody,Lost Dogs And Mixed Blessings,2022-12-01 10:23:18
The Tragically Hip,Ahead By A Century,Trouble At The Henhouse,2022-12-01 10:19:31
Crash Test Dummies,Afternoons & Coffeespoons,God Shuffled His Feet,2022-12-01 10:15:44
"Dolly Parton, Linda Ronstadt, and Emmylou Harris",After The Gold Rush,Trio II,2022-12-01 10:10:58
Hamid Baroudi,African Soul,Var-mambo Inn:big Noise 2,2022-12-01 10:05:51
Red Hot Chili Peppers,Aeroplane,One Hot Minute,2022-12-01 10:01:43
Sarah McLachlan,Adia,Surfacing,2022-12-01 09:57:14
Uncle Tupelo,Acuff Rose,Anodyne,2022-12-01 09:54:33
Fiona Apple,Across The Universe,Pleasantville OST,2022-12-01 09:49:00
Nanci Griffith,Across The Great Divide,Other Voices Other Rooms,2022-12-01 09:45:06
Oasis,Acquiesce,Some Might Say (single),2022-12-01 09:40:32
Billy Ray Cyrus,Achy Breaky Heart,Some Gave All,2022-12-01 09:37:13
Billy Bragg,Accident Waiting To Happen,Don't Try This At Home,2022-12-01 09:32:00
Nirvana,About A Girl,MTV Unplugged In New York,2022-12-01 09:28:50
The Flaming Lips,A Spoonful Weighs A Ton,The Soft Bulletin,2022-12-01 09:25:24
Wilco,A Shot In The Arm,Summerteeth,2022-12-01 09:19:47
Aretha Franklin,A Rose is Still a Rose,A Rose is Still a Rose,2022-12-01 09:15:09
De La Soul,"A Roller Skating Jam Named ""Saturdays""",De La Soul is Dead,2022-12-01 09:11:16
David Byrne,A Long Time Ago,David Byrne,2022-12-01 09:05:09
Counting Crows,A Long December,Recovering The Satellites,2022-12-01 09:00:10
NRBQ,A Little Bit Of Bad,Message For The Mess-age,2022-12-01 08:56:17
The Cure,A Letter To Elise,Wish,2022-12-01 08:51:04
Tom Petty,A Higher Place,Wildflowers,2022-12-01 08:44:09
Sugar,A Good Idea,Copper Blue,2022-12-01 08:40:12
John Scofield,A Go Go,A Go Go,2022-12-01 08:32:30
Edwyn Collins,A Girl Like You,Gorgeous George,2022-12-01 08:28:34
Bruce Cockburn,A Dream Like Mine,Recorded Live for World Cafe 10/15/91,2022-12-01 08:24:52
My Life With Thrill Kill Kult,A Daisy Chain 4 Satan,Confessions of a Knife,2022-12-01 08:16:39
Cowboy Junkies,A Common Disaster,Lay It Down,2022-12-01 08:12:21
David Gray,A Century Ends,A Century Ends,2022-12-01 08:02:27
Haim,Hallelujah,Women in Music Pt. III,2022-12-01 07:57:08
Fleetwood Mac,Songbird,Rumours,2022-12-01 07:53:55
Lizzo,About Damn Time,Special,2022-12-01 07:46:39
Jack Johnson,Flake,Brushfire Fairytales,2022-12-01 07:42:04
Patsy Cline,Walkin' After Midnight,The Patsy Cline Story,2022-12-01 07:40:05
Thee Sacred Souls,Easier Said Than Done,Thee Sacred Souls,2022-12-01 07:37:15
Genesis Owusu,Get Inspired,single,2022-12-01 07:32:47
M83,Midnight City,"Hurry Up, We're Dreaming",2022-12-01 07:28:52
Nikki Lane,First High,Denim & Diamonds,2022-12-01 07:25:45
Fleetwood Mac,Hold Me,Mirage,2022-12-01 07:22:07
Arlo Parks,Softly,Softly (single),2022-12-01 07:15:17
The Doors,Soul Kitchen,The Doors,2022-12-01 07:11:46
The Raconteurs,Steady As She Goes,Broken Boy Soldiers,2022-12-01 07:08:06
GA-20,Fairweather Friend,Crackdown,2022-12-01 07:05:22
Bruce Springsteen,Do I Love You (Indeed I Do),Only The Strong Survive,2022-12-01 07:00:54
The The,This Is The Day,Soul Mining,2022-12-01 06:55:59
Fleetwood Mac,Everywhere,Tango In The Night,2022-12-01 06:52:22
The Record Company,Off The Ground,Give It Back To You,2022-12-01 06:43:30
New Riders Of The Purple Sage,Panama Red,The Adventures Of Panama Red,2022-12-01 06:40:49
Sunny War,No Reason,Anarchist Gospel,2022-12-01 06:38:14
Bartees Strange,Wretched,Farm to Table,2022-12-01 06:32:35
Passion Pit,Carried Away,Gossamer,2022-12-01 06:28:59
First Aid Kit,A Feeling That Never Came,Palomino,2022-12-01 06:25:35
Fleetwood Mac,Little Lies,Tango In The Night,2022-12-01 06:22:04
The Animals,House Of The Rising Sun,The Animals,2022-12-01 06:14:44
John Mayer,Why Georgia,Room For Squares,2022-12-01 06:10:21
Margo Price,Change of Heart,Strays,2022-12-01 06:06:47
Fleetwood Mac,Say You Love Me,Fleetwood Mac,2022-12-01 06:00:25
Bee Gees,"Lonely Days, Lonely Nights",2 Years On,2022-12-01 05:51:39
Cecilia Castleman,Lonely Nights,(single),2022-12-01 05:47:44
Cautious Clay,Puffer,Thin Ice on the Cake - EP,2022-12-01 05:43:54
Daniel Lanois,The Maker,Acadie,2022-12-01 05:39:50
Julia Jacklin,I Was Neon,PRE PLEASURE,2022-12-01 05:36:36
Prince,Alphabet St,Lovesexy,2022-12-01 05:31:00
The Arcs,Keep On Dreamin',Electrophonic Chronic,2022-12-01 05:25:27
Bonnie Raitt,Made Up Mind,Just Like That,2022-12-01 05:22:00
Midnight Oil,Beds Are Burning,Diesel & Dust,2022-12-01 05:17:43
Charley Crockett,Trinity River,The Man From Waco,2022-12-01 05:13:24
Plains,Problem With It,I Walked with You a Ways,2022-12-01 05:09:26
The Smithereens,A Girl Like You,11,2022-12-01 05:04:56
Christine McVie,I'd Rather Go Blind,The Legendary Christine Perfect Album,2022-12-01 05:01:45
Mt. Joy,Evergreen,Orange Blood,2022-12-01 04:57:26
Lissie,Night Moves,Carving Canyons,2022-12-01 04:54:19
X-press 2,Lazy,Grown Backwards,2022-12-01 04:44:55
joe p,Off My Mind,Emily Can't Sing,2022-12-01 04:41:27
Broken Bells,Saturdays,Into The Blue,2022-12-01 04:38:29
Sharon Van Etten,Mistakes,We've Been Going About This All Wrong,2022-12-01 04:34:37
Barry White,Can't Get Enough Of Your Love,Can't Get Enough,2022-12-01 04:30:06
Horace Silver,Song For My Father,Song For My Father,2022-12-01 04:22:52
The Killers,boy,single,2022-12-01 04:19:37
Eric Clapton,Tulsa Time,Backless,2022-12-01 04:16:40
Momma,Rockstar,Household Name,2022-12-01 04:13:32
Buffalo Nichols,Meet Me In The Bottom,single,2022-12-01 04:10:20
Grant Lee Buffalo,Mockingbirds,Mighty Joe Moon,2022-12-01 04:05:59
Counting Crows,Daylight Fading,Recovering The Satellites,2022-12-01 04:02:11
Foals,Exits,Everything Not Saved Will Be Lost Part 1,2022-12-01 03:57:50
Maggie Rogers,Want Want,Surrender,2022-12-01 03:54:43
Phoenix,Tonight (feat. Ezra Koenig),Alpha Zulu,2022-12-01 03:51:03
Fountains Of Wayne,Stacy's Mom,Welcome Interstate Managers,2022-12-01 03:47:48
Creedence Clearwater Revival,Born On The Bayou,Bayou Country,2022-12-01 03:42:37
Arthur Thomas and the Funkitorium,Move,In Between Planets,2022-12-01 03:39:15
Yeah Yeah Yeahs,Burning,Cool it Down,2022-12-01 03:35:44
The Walker Brothers,The Sun Ain't Gonna Shine Anymore,The British Invasion,2022-12-01 03:32:44
Flamin' Groovies,Shake Some Action,Shake Some Action,2022-12-01 03:28:15
Jack Johnson,One Step Ahead,Meet The Moonlight,2022-12-01 03:25:10
Mark Ronson,Uptown Funk,Uptown Special,2022-12-01 03:20:42
Jeff Buckley,"Lover, You Should've Come Over",Grace,2022-12-01 03:14:00
First Aid Kit,A Feeling That Never Came,Palomino,2022-12-01 03:10:35
Spoon,On The Radio,Lucifer On The Sofa,2022-12-01 03:07:15
The Beatles,Eight Days A Week,Beatles For Sale,2022-12-01 03:04:33
Fitz & The Tantrums,Don't Gotta Work It Out,Pickin' Up the Pieces,2022-12-01 03:00:25
The Allman Brothers,Little Martha,Eat A Peach,2022-12-01 02:58:26
Delicate Steve,Cartoon Rock,This Is Steve,2022-12-01 00:58:26
