Artist,Title,Air Time
The Buzzcocks,Ever Fallen In Love?,2020-12-15 00:57:00
Carole King,Will You Love Me Tomorrow,2020-12-15 00:52:00
The Cowsills,The Rain The Park and Other Things,2020-12-15 00:49:00
Edward Sharpe & The Magnetic Zeros,Home,2020-12-15 00:44:00
Kate Bush,Hounds Of Love,2020-12-15 00:40:00
The Police,Message In A Bottle,2020-12-15 00:35:00
T Rex,Bang A Gong (Get It On),2020-12-15 00:31:00
Phish,Divided Sky,2020-12-15 00:18:00
The Ramones,I Wanna Be Sedated,2020-12-15 00:15:00
Aretha Franklin,Think,2020-12-15 00:13:00
Lucinda Williams,Essence,2020-12-15 00:07:00
The Beatles,If I Fell,2020-12-15 00:05:00
Joni Mitchell,The Circle Game,2020-12-15 00:00:00
