Artist,Title,Album,Air Time
Tracy Nelson,Down So Low,Tracy Nelson,2023-12-06 11:51:49
Elizabeth Cotten,Freight Train,Freight Train And Other North Carolina Folk Songs And Tunes,2023-12-06 11:48:58
Wilson Phillips,Hold On,Hold On,2023-12-06 11:44:48
Donna Summer,Love To Love You Baby,20th Century Masters - The Millennium Collection,2023-12-06 11:26:52
Grace Cummings,Heaven,Storm Queen,2023-12-06 11:22:29
Laura Nyro,Save The Country,New York Tendaberry,2023-12-06 11:16:31
Belinda Carlisle,Heaven Is a Place on Earth,Heaven On Earth,2023-12-06 11:12:32
Patty Griffin,Mad Mission,Living With Ghosts,2023-12-06 11:09:00
Patty Griffin,Mad Mission,Living With Ghosts,2023-12-06 11:08:55
Natalie Merchant,Ophelia,Ophelia,2023-12-06 11:04:15
ABBA,The Winner Takes It All,Super Trouper,2023-12-06 10:57:50
Patti Smith,Free Money,Horses,2023-12-06 10:53:34
Dolly Parton,Light of a Clear Blue Morning,New Harvest... First Gathering,2023-12-06 10:48:50
Joni Mitchell,Hissing Of Summer Lawns,The Hissing Of Summer Lawns,2023-12-06 10:44:51
Joni Mitchell,Blue Motel Room,Hejira,2023-12-06 10:39:53
Haim,The Wire,Days Are Gone,2023-12-06 10:35:42
B-52's,Roam,Cosmic Thing,2023-12-06 10:30:02
Ann Peebles,I Can't Stand The Rain,I Can't Stand The Rain,2023-12-06 10:27:32
Robyn,Call Your Girlfriend,Body Talk,2023-12-06 10:23:50
Mitski,Nobody,Be The Cowboy,2023-12-06 10:19:32
Kathleen Edwards,"I Make The Dough, You Get The Glory",Asking For Flowers,2023-12-06 10:15:34
Suzanne Vega,Left Of Center,Pretty In Pink (soundtrack),2023-12-06 10:13:00
Indigo Girls,Hammer And A Nail,Nomads Indians Saints,2023-12-06 10:08:16
Cris Williamson,Waterfall,Changer and the Changed,2023-12-06 10:01:35
Mary Chapin Carpenter,I Am A Town,Live at the World Cafe Vol. 2,2023-12-06 09:57:35
Cocteau Twins,Carolyn's Fingers,Blue Bell Knoll,2023-12-06 09:54:35
Big Thief,Masterpiece,Masterpiece,2023-12-06 09:49:15
Kate Bush,Love and Anger,The Sensual World,2023-12-06 09:44:38
Janet Jackson,Nasty,Control,2023-12-06 09:40:00
Big Thief,Vampire Empire,Vampire Empire / Born for Loving You (single),2023-12-06 09:36:18
Evanescence,My Immortal,Fallen,2023-12-06 09:31:52
Enya,Only Time,A Day Without Rain (cd Single),2023-12-06 09:28:20
Paramore,All I Wanted,Brand New Eyes,2023-12-06 09:23:22
Lene Lovich,Lucky Number,Stateless,2023-12-06 09:20:38
Dar Williams,February,Many Great Companions,2023-12-06 09:17:52
Dar Williams,February,Many Great Companions,2023-12-06 09:16:47
Carly Simon,The Right Thing To Do,No Secrets,2023-12-06 09:13:52
Joanna Newsom,Emily,Ys,2023-12-06 08:59:44
Diana Ross,Love Hangover,Diana Ross,2023-12-06 08:55:31
Dar Williams,The Christians And The Pagans,Mortal City,2023-12-06 08:50:00
Beth Orton,Stolen Car,Central Reservation,2023-12-06 08:45:55
Gladys Knight & the Pips,Best Thing That Ever Happened To Me,Imagination,2023-12-06 08:42:13
Cat Power,The Greatest,The Greatest,2023-12-06 08:36:04
Pat Benatar,Invincible,Seven The Hard Way,2023-12-06 08:31:43
boygenius,Cool About It,The Record,2023-12-06 08:28:40
The Sundays,Goodbye,BLIND,2023-12-06 08:17:52
Florence + the Machine,Shake It Out,Ceremonials,2023-12-06 08:13:26
Mama Cass Elliot,Dream a Little Dream of Me,Dream a Little Dream,2023-12-06 08:09:28
Lady Gaga,Million Reasons,Joanne,2023-12-06 08:06:09
Florence + the Machine,Ship to Wreck,How Big How Blue How Beautiful,2023-12-06 08:00:45
Beck & Phoenix,Odyssey,(single),2023-12-06 07:56:35
Paul McCartney & Wings,No Words,Band On The Run,2023-12-06 07:54:05
Stephen Sanchez,Until I Found You,Angel Face,2023-12-06 07:47:11
The Dandy Warhols,Bohemian Like You,Thirteen Tales From Urban Bohemia,2023-12-06 07:43:42
The Last Dinner Party,Sinner,Prelude to Ecstasy,2023-12-06 07:40:47
The Stylistics,Betcha By Golly Wow,The Stylistics,2023-12-06 07:34:58
R. E. M.,Pop Song 89,Green,2023-12-06 07:31:57
The Dave Brubeck Quartet,Take Five,Time Out,2023-12-06 07:26:38
Brittany Howard,What Now,What Now,2023-12-06 07:23:09
The Rolling Stones,Mess It Up,Hackney Diamonds,2023-12-06 07:13:28
Pulp,Common People,Different Class,2023-12-06 07:07:41
Slow Pulp,Doubt,Yard,2023-12-06 07:05:09
Sharon Jones and the Dap-Kings,8 Days Of Hanukkah,It's A Holiday Soul Party,2023-12-06 07:00:31
George Harrison,All Those Years Ago,Somewhere in England,2023-12-06 06:56:29
Yard Act,Dream Job,Where's My Utopia?,2023-12-06 06:53:51
The Record Company,How High,Play Loud,2023-12-06 06:46:50
Coldplay,Shiver,Parachutes,2023-12-06 06:41:51
Laufey,Promise,Bewitched,2023-12-06 06:38:05
The National,Eucalyptus,First Two Pages of Frankenstein,2023-12-06 06:32:10
Say She She,Questions,Silver,2023-12-06 06:24:40
Starcrawler,Hollywood Ending,Devour You,2023-12-06 06:16:57
Pearl Jam,Yellow Ledbetter,Lost Dogs,2023-12-06 06:11:57
Jose James,38th & Chicago,1978,2023-12-06 06:06:29
The Moody Blues,Go Now,The Magnificent Moodies,2023-12-06 06:00:24
Lana Del Rey,West Coast,Ultraviolence,2023-12-06 05:55:51
Future Islands,The Tower,People Who Aren't There Anymore,2023-12-06 05:48:57
The Beatles,Now and Then,Now and Then (single),2023-12-06 05:43:36
Yaz,Only You,Upstairs At Eric's,2023-12-06 05:40:37
Blur,Barbaric,The Ballad of Darren,2023-12-06 05:36:08
Jimi Hendrix,Crosstown Traffic,Electric Ladyland,2023-12-06 05:34:01
Ultravox,Passing Strangers,Vienna,2023-12-06 05:30:17
Deeper,Glare,Careful!,2023-12-06 05:25:20
Charley Crockett,I'm Just A Clown,The Man From Waco,2023-12-06 05:21:59
Amos Lee,Greenville,Honeysuckle Switches,2023-12-06 05:18:48
Middle Kids,Highlands,Faith Crisis Pt. 1,2023-12-06 05:14:56
tune-yards,hold yourself,sketchy,2023-12-06 05:11:00
Eric Clapton,The Core,Slowhand,2023-12-06 05:02:21
Linda Ronstadt,Lose Again,Hasten Down The Wind,2023-12-06 04:58:29
Jon Batiste,I Need You,We Are,2023-12-06 04:55:51
The Cactus Blossoms,If Not For You,Bob Dylan Songs Vol. 1,2023-12-06 04:53:37
Margaret Glaspy,Get Back,Echo the Diamond,2023-12-06 04:49:53
The Lumineers,Submarines,The Lumineers,2023-12-06 04:47:15
Blondshell,Joiner,Blondshell,2023-12-06 04:43:19
Dido,Hunter,No Angel,2023-12-06 04:39:45
Devon Gilfillian,Love You Anyway,Love You Anyway,2023-12-06 04:36:01
Genesis Owusu,Tied Up!,STRUGGLER,2023-12-06 04:32:58
The Weather Station,Robber,Ignorance,2023-12-06 04:27:41
Tyler Childers,All Your'n,Country Squire,2023-12-06 04:24:16
Low Cut Connie,Don't Get Fresh With Me,Art Dealers,2023-12-06 04:20:34
Al Wilson,Show And Tell,Al Wilson's Greatest Hits,2023-12-06 04:17:11
Bakar,Alive!,Halo,2023-12-06 04:13:18
Bruce Springsteen,Darkness On The Edge Of Town,Darkness On The Edge Of Town,2023-12-06 04:09:01
Noah Kahan,Northern Attitude (ft. Hozier),Stick Season,2023-12-06 04:04:41
The Replacements,Nightclub Jitters,Pleased To Meet Me,2023-12-06 04:01:28
They~,They~,Live at the World Cafe Vol. 19: New Beginning,2023-12-06 03:57:51
Al Green,Perfect Day,Perfect Day (single),2023-12-06 03:53:55
Rusted Root,Send Me On My Way,When I Woke,2023-12-06 03:49:37
Lizzie No,Lagunita,Halfsies,2023-12-06 03:45:44
Caamp,Peach Fuzz,By & By,2023-12-06 03:42:06
Bleachers,Modern Girl,Bleachers,2023-12-06 03:38:38
Stevie Ray Vaughan,Tight Rope,In Step,2023-12-06 03:34:06
The Menzingers,Come On Heartache,Some Of It Was True,2023-12-06 03:31:21
Black Pumas,Mrs. Postman,Chronicles Of A Diamond,2023-12-06 03:26:58
Me'shell Ndegeocello,I'm Diggin' You (Like An Old Soul Record),Plantation Lullabies,2023-12-06 03:22:39
Band Of Horses,Crutch,Things Are Great,2023-12-06 03:19:07
Sharon Van Etten,Close To You,The Buccaneers: Season 1 (Apple TV+ Original Series Soundtrack),2023-12-06 03:14:14
Squirrel Flower,Alley Light,Tomorrow's Fire,2023-12-06 03:11:09
Van Morrison,Days Like This,Days Like This,2023-12-06 03:08:00
Bully,Hard to Love,Lucky for You,2023-12-06 03:05:34
Mark Ronson,Uptown Funk,Uptown Special,2023-12-06 03:00:46
Iron and Wine,Naked As We Came,Our Endless Numbered Days,2023-12-06 02:57:55
Hundred Watt Heart,We Can Be One,Land Of The Look Beyond,2023-12-06 02:53:10
Ducks Ltd.,The Main Thing,Harm's Way,2023-12-06 02:50:13
Passion Pit,The Reeling,Manners,2023-12-06 02:45:43
Florry,Drunk and High,The Holey Bible,2023-12-06 02:43:31
Thundercat & Tame Impala,No More Lies,No More Lies (single),2023-12-06 02:40:27
The Cure,In Between Days,The Head On The Door,2023-12-06 02:37:30
IDLES,Dancer (ft. LCD Soundsystem),TANGK,2023-12-06 02:34:24
"Slaughter Beach, Dog",Strange Weather,Crying Laughing Waving Smiling,2023-12-06 02:31:00
The Hold Steady,Hurricane J,Heaven Is Whenever,2023-12-06 02:27:59
Catbite,Call Your Bluff,Nice One,2023-12-06 02:25:28
Brigitte Calls Me Baby,Impressively Average,This House is Made of Corners,2023-12-06 02:22:11
Kid Creole & The Coconuts,Endicott,In Praise Of Older Women & Other Crimes,2023-12-06 02:17:49
Wilco,Evicted,Cousin,2023-12-06 02:14:28
Pulp,Disco 2000,Different Class,2023-12-06 02:09:56
Laufey,Promise,Bewitched,2023-12-06 02:06:12
Heart,Magic Man,Dreamboat Annie,2023-12-06 02:00:24
Wendy Carlos,Two-Part Invention in B-Flat Major,Switched-On Bach,2023-12-06 01:59:32
