Artist,Title,Album,Air Time
Emile Parisien / Vincent Peirani / Vincent Segal / Sissoko Segal / Parisien Peirani / Ballake Sissoko,Le Chanson de Egares,Les Egares,2023-12-10 08:53:21
John Lee Hooker,Come On and See About Me,That's My Story,2023-12-10 08:50:41
Cat Power,Fourth Time Around,Cat Power Sings Dylan: The Royal Albert Hall,2023-12-10 08:45:39
Yo La Tengo,The Whole of the Law,Painful,2023-12-10 08:42:40
Johanna Samuels,Inside Girl,Bystander,2023-12-10 08:40:47
Leonard Cohen,If It Be Your Will,Various Positions,2023-12-10 08:35:38
Spencer Cullum,Betwixt and Between (feat. Erin Rae),Spencer Cullum's Coin Collection 2,2023-12-10 08:31:41
"S. Carey, John Raymond, Aaron Parks & Chris Morrissey",Hollow,Shadowlands,2023-12-10 08:25:58
Cat Stevens,I'm So Sleepy,New Masters,2023-12-10 08:23:12
Joanna Sternberg,Without You,Without You [Single],2023-12-10 08:21:15
Johnny Hartman,What Is There to Say?,Songs from the Heart,2023-12-10 08:18:27
Jose James,I've Got My Love to Keep Me Warm,Merry Christmas from Jose James,2023-12-10 08:13:02
Laura Veirs,Beautiful Dreams,Phone Orphans,2023-12-10 08:10:53
Sam Evian ,Unknown Legend,Aquarium Drunkard's Lagniappe Session,2023-12-10 08:10:35
Neil Young,Birds,Before + After,2023-12-10 08:04:24
The Dexter Gordon Quartet,Have Yourself A Merry Little Christmas,Jingle Bell Jazz,2023-12-10 07:52:56
The Druckenmillers,Liza Jane,The Road Home,2023-12-10 07:52:53
Ralph Stanley,Waiting For Me,While The Ages Roll On,2023-12-10 07:44:52
Abigail Washburn,Bright Morning Stars,City Of Refuge,2023-12-10 07:42:15
Roy Orbison,Dream,In Dreams,2023-12-10 07:40:34
Kenny Burrell,All Of You,Kenny Burrell,2023-12-10 07:30:29
Everything But The Girl,Downtown Train,Acoustic,2023-12-10 07:25:21
Gary Louris,She Only Call Me On Sundays,Vagabonds,2023-12-10 07:22:06
Paul McCartney,Mamunia,Band On The Run,2023-12-10 07:17:22
Dave Brubeck,My Romance,Plays For Lovers,2023-12-10 07:12:36
The Dan Brubeck Quartet,Autumn In Our Town,Celebrating the music & lyrics of Dave & Iola Brubeck,2023-12-10 07:08:18
Dave Brubeck,Someday My Prince Will Come,Dave Digs Disney,2023-12-10 07:00:18
Lee Ritenour,Storyteller,Dreamcatcher,2023-12-10 06:52:25
William Ackerman,Big Thing in the Sky (For Jess),Conferring With The Moon,2023-12-10 06:52:09
Gordon Lightfoot,Early Morning Rain,Lightfoot!,2023-12-10 06:47:45
Brook Benton,Rainy Night In Georgia,Today,2023-12-10 06:43:56
Astrud Gilberto,Gentle Rain,Best Of Bossa Nova,2023-12-10 06:41:40
Nancy Wilson,Here's That Rainy Day,Spotlight On Great Ladies Of Song,2023-12-10 06:39:19
Organissimo,While My Guitar Gently Weeps,B3Eatles,2023-12-10 06:31:58
George Harrison,Behind That Locked Door,All Things Must Pass,2023-12-10 06:29:05
Fred Hersch Trio,And I Lover Her,+2,2023-12-10 06:24:26
Barry Douglas,"Romance in F, Op.51 No. 5",Tchaikovsky For Relaxation,2023-12-10 06:13:46
The Tallis Scholars,Allegri: Miserere Mei,Silver: The Best of The Tallis Scholars,2023-12-10 06:01:25
Deborah Martin/Jill Haley,Into the Quiet,Into the Quiet,2023-12-10 05:53:31
Pauline Anna Strom,Ancient Sea Ritual (extended),Oceans of Tears,2023-12-10 05:43:23
Irene Pappas,Lamento,Odes,2023-12-10 05:35:14
Wendy Carlos,Aurora Borealis,Sonic Seasonings,2023-12-10 05:13:59
Meredith Monk,Boat Song,Facing North,2023-12-10 05:09:35
Maggi Payne,Crystal,Crystal,2023-12-10 04:59:45
Torn Curtain,Dawn,Torn Curtain,2023-12-10 04:53:57
Pauline Oliveros/Stuart Dempster/Panaiotis,Lear,Deep Listening,2023-12-10 04:29:28
Joan LaBarbara,Rothko,Shamansong,2023-12-10 04:05:16
Hildur Gudnadottir,Elevation,Without Sinking,2023-12-10 03:59:20
Serena Gabriel (feat Steve Roach),Changing Tides,Inanna's Dream,2023-12-10 03:39:59
Hildegard von Bingen,O Quam Mirabilis,The Monk and the Abbess,2023-12-10 03:37:20
Areni Agbabian,Full Bloom,Bloom,2023-12-10 03:33:32
Juliana Barwick,Look Into Your Own Mind,Nepenthe,2023-12-10 03:29:04
Kailyn Aurelia Smith,The Merge,Let's Turn It Into Sound,2023-12-10 03:26:15
Less Bells,Milwaukee Protocol,Solifuge,2023-12-10 03:13:21
Penelope Trappes,Fur & Feathers,Penelope Three,2023-12-10 03:10:19
Caterina Barbieri,Knot of Spirit,Spirit Knot,2023-12-10 03:00:10
Anne Sulikowski,Try Not to Forget Me,There is No One in Here,2023-12-10 02:56:58
Anne Sulikowski,Tabla Rasa,Tabla Rasa,2023-12-10 02:50:23
Alene Marie,Luminous Gulch (w/Fanciulla Gentile and Nihar),Colors of Distance,2023-12-10 02:42:58
Panic Girl,Gathering High Up In The Mountains,Washed Ashore,2023-12-10 02:29:39
Paulina Fae,Spaceman (Magic Ingredient Mix),Dreamwalkers,2023-12-10 02:23:40
Anne Garner,Dear Unknown (Instrumental),Dear Unknown [Instrumental],2023-12-10 02:20:00
Anne Garner,Dear Unknown,Dear Unknown,2023-12-10 02:13:25
Christina Ruf,Time,"Issues of Time, Space and Longing",2023-12-10 02:03:03
Christina Ruf,Time,"Issues of Time, Space and Longing",2023-12-10 02:03:03
Lisa Bella Donna,Carolina Pines,Tramontane,2023-12-10 01:36:36
Meg Bowles,Evening Chorus,Voices from the Ethereal Forest,2023-12-10 01:26:06
Helene Vogelsinger,Reminiscence,Reminiscence,2023-12-10 01:16:59
Noveller,Zeaxanthin,Arrow,2023-12-10 01:08:26
Hania Rani,24.03,Ghosts,2023-12-10 01:04:23
