Artist,Title,Album,Air Time
Crowded House,LOCKED OUT,TOGETHER ALONE,2022-12-04 14:45:09
The Tragically Hip,Locked In The Trunk Of A Car,Fully Completely,2022-12-04 14:39:02
Primal Scream,Loaded,Screamadelica,2022-12-04 14:33:46
Chris Whitley,Living With The Law,Living With The Law,2022-12-04 14:29:54
Ricky Martin,Livin' La Vida Loca,Ricky Martin,2022-12-04 14:24:01
Caron Wheeler,Livin' In The Light,Livin' In The Light,2022-12-04 14:19:27
Oasis,Live Forever,Definitely Maybe,2022-12-04 14:14:57
Guns n Roses,Live And Let Die,Use Your Illusion I,2022-12-04 14:10:18
David Bowie,Little Wonder,Earthling,2022-12-04 14:04:10
Ani DiFranco,Little Plastic Castle,Little Plastic Castle,2022-12-04 14:00:10
James Taylor,Little More Time With You,Hourglass,2022-12-04 13:55:55
Spin Doctors,Little Miss Can't Be Wrong,Pocket Full Of Kryptonite,2022-12-04 13:51:58
Yo La Tengo,Little Honda,Little Honda EP,2022-12-04 13:48:00
The Orb,Little Fluffy Clouds,The Orb's Adventures Beyond The Ultraworld,2022-12-04 13:43:57
Annie Lennox,Little Bird,Diva,2022-12-04 13:39:17
Nirvana,Lithium,Nevermind,2022-12-04 13:34:20
Buckcherry,Lit Up,Buckcherry,2022-12-04 13:30:39
Bruce Cockburn,Listen For The Laugh,Dart To The Heart,2022-12-04 13:26:39
The Cranberries,Linger,"Everybody Else Is Doing It, So Why Can't We?",2022-12-04 13:21:21
Lucinda Williams,Lines Around Your Eyes,Sweet Old World,2022-12-04 13:18:53
Jeff Buckley,Lilac Wine,Grace,2022-12-04 13:14:28
Belle and Sebastian,Like Dylan In The Movies,If You're Feeling Sinister,2022-12-04 13:09:25
Ben Harper,Like A King,Welcome To The Cruel World,2022-12-04 13:05:11
Live,Lightning Crashes,Throwing Copper,2022-12-04 12:59:52
Talking Heads,Lifetime Piling Up,Sand In The Vaseline (2),2022-12-04 12:55:29
Natalie Merchant,Life Is Sweet,Ophelia,2022-12-04 12:49:48
Shelby Lynne,Life Is Bad,I Am Shelby Lynne,2022-12-04 12:46:24
Tom Cochrane,Life Is A Highway,Mad Mad World,2022-12-04 12:42:07
Stevie Ray Vaughan,Life By The Drop,The Sky Is Crying,2022-12-04 12:37:56
Jim Lauderdale,Life By Numbers,Persimmons,2022-12-04 12:34:35
Jonny Lang,Lie To Me,Lie To Me,2022-12-04 12:30:35
Pet Shop Boys,Liberation,Very,2022-12-04 12:24:52
The Cranberries,Liar,Empire Records (Original Soundtrack),2022-12-04 12:22:26
Rollins Band,Liar,Weight,2022-12-04 12:15:50
James McMurtry,Levelland,Where'd You Hide The Body,2022-12-04 12:08:33
Salt N Pepa,Let's Talk About Sex,Blacks' Magic,2022-12-04 12:04:17
Def Leppard,Let's Get Rocked,Adrenalize,2022-12-04 11:59:24
Jennifer Lopez,Let's Get Loud,On The 6,2022-12-04 11:54:53
Iris Dement,Let The Mystery Be,Infamous Angel,2022-12-04 11:51:07
DJ Kool,Let Me Clear My Throat,Let Me Clear My Throat,2022-12-04 11:46:14
Social Distortion,Let It Be Me,Social Distortion,2022-12-04 11:42:01
Patty Griffin,Let Him Fly,Living With Ghosts,2022-12-04 11:37:12
Hootie & The Blowfish,Let Her Cry,CRACKED REAR VIEW,2022-12-04 11:31:52
Radiohead,Let Down,OK Computer,2022-12-04 11:25:57
U2,Lemon,Zooropa,2022-12-04 11:19:01
Sheryl Crow,Leaving Las Vegas,Tuesday Night Music Club,2022-12-04 11:13:57
Ride,Leave Them All Behind,Going Blank Again,2022-12-04 11:04:39
Indigo Girls,Least Complicated,Swamp Ophelia,2022-12-04 11:00:34
Tom Petty & The Heartbreakers,Learning To Fly,Into The Great Wide Open,2022-12-04 10:56:06
Foo Fighters,Learn To Fly,There Is Nothing Left To Lose,2022-12-04 10:51:12
Nickelback,Leader Of Men,The State,2022-12-04 10:46:05
The Roots,Lazy Afternoon,Do You Want More?!!!?!,2022-12-04 10:39:17
David Gray,Late Night Radio,Sell Sell Sell,2022-12-04 10:35:22
Josh Rouse,Late Night Conversation,Dressed Up Like Nebraska,2022-12-04 10:31:36
The Subdudes,Late At Night,Annunciation,2022-12-04 10:26:18
The Iguanas,Late At Night,The Iguanas,2022-12-04 10:20:33
Kenny Wayne Shepherd,Last Goodbye,Live On,2022-12-04 10:16:06
Jeff Buckley,Last Goodbye,Grace,2022-12-04 10:09:53
Joni Mitchell,Last Chance Lost,Turbulent Indigo,2022-12-04 10:06:42
Ry Cooder & Ali Farke Toure,Lasidan,Talking Timbuktu,2022-12-04 10:00:44
Smashing Pumpkins,Landslide,Pisces Iscariot,2022-12-04 09:57:06
John Gorka,Land Of The Bottom Line,Land Of The Bottom Line,2022-12-04 09:52:14
Nirvana,Lake Of Fire,MTV Unplugged In New York,2022-12-04 09:49:41
John Prine,Lake Marie,Lost Dogs And Mixed Blessings,2022-12-04 09:43:47
James,Laid,Laid,2022-12-04 09:39:59
Lush,Ladykillers,Lovelife,2022-12-04 09:36:35
Luscious Jackson,Ladyfingers,Electric Honey,2022-12-04 09:33:10
Stone Temple Pilots,Lady Picture Show,Tiny Music...Songs from the Vatican Gift Shop,2022-12-04 09:28:04
Spiritualized,Ladies And Gentlemen We Are Floating In Space,Ladies And Gentlemen We Are Floating In Space,2022-12-04 09:24:04
Joan Osborne,Ladder,Relish,2022-12-04 09:20:01
Air,La Femme D'Argent,Moon Safari,2022-12-04 09:11:53
Ziggy Marley,Kozmik,Jahmekya,2022-12-04 09:05:43
Primal Scream,Kowalski,Vanishing Point,2022-12-04 08:59:12
Royal Crescent Mob,Konk,Midnight Rose's,2022-12-04 08:53:45
Cocteau Twins,Know Who You Are At Every Age,Four-Calendar Cafe,2022-12-04 08:48:29
Paul Westerberg,Knockin' On Mine,14 Songs,2022-12-04 08:44:53
Guns n Roses,Knockin' On Heaven's Door,Use Your Illusion II,2022-12-04 08:39:11
Nick Heyward,Kite,From Monday to Sunday,2022-12-04 08:34:31
Jackson Browne & Bonnie Raitt,Kisses Sweeter Than Wine,Where Have All The Flowers Gone: The Songs Of Pete Seeger,2022-12-04 08:29:50
Siouxsie & The Banshees,Kiss Them For Me,Superstition,2022-12-04 08:25:31
Sade,Kiss Of Life,Love Deluxe,2022-12-04 08:17:42
Seal,Kiss From A Rose,Seal,2022-12-04 08:12:48
Happy Mondays,Kinky Afro,Pills 'n Thrills And Bellyaches,2022-12-04 08:09:03
Tom Petty & The Heartbreakers,Kings Highway,Into The Great Wide Open,2022-12-04 08:04:06
Roger McGuinn,King Of The Hill,Back From Rio,2022-12-04 07:58:46
Neutral Milk Hotel,King Of Carrot Flowers Part 1,In The Aeroplane Over The Sea,2022-12-04 07:56:17
Dave Alvin,King Of California,King Of California,2022-12-04 07:49:48
Natalie Merchant,Kind & Generous,Ophelia,2022-12-04 07:46:00
The Fugees,Killing Me Softly With His Song,The Score,2022-12-04 07:41:06
Rage Against The Machine,Killing In The Name,Rage Against The Machine,2022-12-04 07:34:46
Los Lobos,Kiko And The Lavender Moon,Kiko,2022-12-04 07:31:05
Chris Whitley,Kick The Stones,Living With The Law,2022-12-04 07:26:57
Bad Brains and Henry Rollins,Kick Out The Jams,Pump Up The Volume Soundtrack,2022-12-04 07:21:27
2 Pac,Keep Ya Head Up,Strictly For My,2022-12-04 07:17:01
MC Lyte,Keep It Movin',Wild Wild West,2022-12-04 07:12:54
Ben Folds Five,Kate,Whatever & Ever Amen,2022-12-04 07:07:56
Massive Attack,Karmacoma,Protection,2022-12-04 07:02:44
Radiohead,Karma Police,OK Computer,2022-12-04 06:58:23
Madonna,Justify My Love,The Immaculate Collection,2022-12-04 06:52:48
Gang Starr,Just To Get A Rep,Step Into The Arena,2022-12-04 06:48:01
Will Smith,Just the Two of Us,Big Willie Style,2022-12-04 06:42:50
Keb' Mo',Just Like You,Just Like You,2022-12-04 06:39:18
No Doubt,Just A Girl,Tragic Kingdom,2022-12-04 06:34:31
Radiohead,Just,The Bends,2022-12-04 06:30:30
Third Eye Blind,Jumper,Third Eye Blind,2022-12-04 06:26:01
David Bowie,Jump They Say,Black Tie White Noise,2022-12-04 06:20:35
The Brian Setzer Orchestra,Jump Jive an' Wail,The Dirty Boogie,2022-12-04 06:17:40
House Of Pain,Jump Around,House Of Pain,2022-12-04 06:14:02
Kris Kross,Jump,Totally Krossed Out,2022-12-04 06:08:57
The Notorious B. I. G,Juicy,Ready To Die,2022-12-04 06:03:50
Ani DiFranco,Joyful Girl,Dilate,2022-12-04 05:58:48
Ziggy Marley,Joy And Blues,Joy And Blues,2022-12-04 05:54:16
Lucinda Williams,Joy,Car Wheels On A Gravel Road,2022-12-04 05:49:37
Indigo Girls,Joking,Rites of Passage,2022-12-04 05:46:12
Jellyfish,Joining A Fan Club,Spilt Milk,2022-12-04 05:42:03
Concrete Blonde,Joey,Bloodletting,2022-12-04 05:36:55
Beastie Boys,Jimmy James,Check Your Head,2022-12-04 05:33:44
Dave Matthews Band,Jimi Thing,Under The Table And Dreaming,2022-12-04 05:28:04
Nirvana,Jesus Doesn't Want Me For A Sunbeam,MTV Unplugged In New York,2022-12-04 05:22:30
Ministry,Jesus Built My Hotrod,Psalm 69,2022-12-04 05:17:44
Primus,Jerry Was A Race Car Driver,Sailing The Seas of Cheese,2022-12-04 05:14:34
The Time,Jerk Out,Pandemonium,2022-12-04 05:07:52
Pearl Jam,Jeremy,Ten,2022-12-04 05:02:39
Los Lobos,Jenny's Got A Pony,The Neighborhood,2022-12-04 04:58:48
Q-Burns Abstract Message,Jennifer,Feng Shui,2022-12-04 04:52:51
Natalie Merchant,Jealousy,Tigerlily,2022-12-04 04:50:16
The Black Crowes,Jealous Again,Shake Your Money Maker,2022-12-04 04:45:23
Gene Loves Jezebel,Jealous,New Wave Hits,2022-12-04 04:41:38
The Solsonics,Jazz In The Present Tense,Jazz In the Present Tense,2022-12-04 04:37:15
Barenaked Ladies,Jane,Maybe You Should Drive,2022-12-04 04:33:19
Old 97's,Jagged,Fight Songs,2022-12-04 04:29:18
Elvis Costello & The Brodsky Quartet,"Jacksons, Monk and Rowe",The Juliet Letters,2022-12-04 04:25:33
Ben Folds Five,Jackson Cannery,Ben Folds Five,2022-12-04 04:22:13
Beck,Jack-Ass,Odelay,2022-12-04 04:17:23
Bruce Hornsby,Jack Straw,Var-deadicated,2022-12-04 04:11:32
Green Day,J.A.R.,Angus Soundtrack,2022-12-04 04:08:46
Redman,Iz He 4 Real,Muddy Waters,2022-12-04 04:06:02
Boyz II Men,It's So Hard to Say Goodbye to Yesterday,Cooleyhighharmony,2022-12-04 04:03:16
Sting,It's Probably Me,Ten Summoner's Tales,2022-12-04 03:58:23
Crowded House,It's Only Natural,Woodface,2022-12-04 03:54:31
Bj rk,It's Oh So Quiet,Post,2022-12-04 03:50:42
Whitney Houston,It's Not Right But It's Okay,My Love Is Your Love,2022-12-04 03:44:29
Tom Petty,It's Good To Be King,Wildflowers,2022-12-04 03:39:33
R. L. Burnside,It's Bad You Know,Come On In,2022-12-04 03:35:09
Indigo Girls,It's Alright,Shaming Of The Sun,2022-12-04 03:30:58
Big Head Todd & The Monsters,It's Alright,Sister Sweetly,2022-12-04 03:27:02
Barenaked Ladies,It's All Been Done,Stunt,2022-12-04 03:23:45
The Lemonheads,It's About Time,Come On Feel The Lemonheads,2022-12-04 03:19:36
The Lemonheads,It's A Shame About Ray,It's A Shame About Ray,2022-12-04 03:16:25
John Prine,It's A Big Old Goofy World,The Missing Years,2022-12-04 03:11:33
Ice Cube,It Was A Good Day,The Predator,2022-12-04 03:05:44
Fountains Of Wayne,It Must Be Summer,UTOPIA PARKWAY,2022-12-04 03:02:35
Susan Tedeschi,It Hurt So Bad,Just Won't Burn,2022-12-04 02:58:47
Boz Scaggs,It All Went Down The Drain,Come On Home,2022-12-04 02:54:16
Lenny Kravitz,It Ain't Over Til It's Over,Mama Said,2022-12-04 02:50:19
They Might Be Giants,Istanbul (Not Constantinople),Flood,2022-12-04 02:46:28
World Party,Is It Too Late?,Goodbye Jumbo,2022-12-04 02:42:13
Soul Coughing,"Is Chicago, Is Not Chicago",Ruby Vroom,2022-12-04 02:38:26
Alanis Morissette,Ironic,Jagged Little Pill,2022-12-04 02:32:41
Goo Goo Dolls,Iris,Dizzy Up The Girl,2022-12-04 02:28:08
Maura O'Connell,Ireland,A Real Life Story,2022-12-04 02:24:03
The Lemonheads,Into Your Arms,Come On Feel The Lemonheads,2022-12-04 02:19:07
Tom Petty & The Heartbreakers,Into The Great Wide Open,Into The Great Wide Open,2022-12-04 02:15:31
Sarah McLachlan,Into The Fire,Solace,2022-12-04 02:10:38
Stone Temple Pilots,Interstate Love Song,Purple,2022-12-04 02:06:21
Beastie Boys,Intergalactic,Hello Nasty,2022-12-04 02:02:45
Eve 6,Inside Out,Inside Out,2022-12-04 01:58:41
Cypress Hill,Insane in the Brain,Black Sunday,2022-12-04 01:54:47
Queen,Innuendo,Innuendo,2022-12-04 01:46:13
Goldie,Inner City Life,Timeless,2022-12-04 01:42:40
Snow,Informer,12 Inches of Snow,2022-12-04 01:38:18
The Bottle Rockets,Indianapolis,24 Hours A Day,2022-12-04 01:34:11
Spacehog,In the Meantime,Resident Alien,2022-12-04 01:29:01
Neutral Milk Hotel,In The Aeroplane Over The Sea,In The Aeroplane Over The Sea,2022-12-04 01:25:51
John Prine,In Spite Of Ourselves (ft. Iris Dement),In Spite Of Ourselves,2022-12-04 01:21:12
Suzanne Vega,In Liverpool,99.9 Fahrenheit Degrees,2022-12-04 01:16:46
Nirvana,In Bloom,Nevermind,2022-12-04 01:12:34
Dread Zeppelin,Immigrant Song,Un-Led-Ed,2022-12-04 01:08:22
Manic Street Preachers,If You Tolerate This Your Children Will Be Next,This Is My Truth Tell Me Yours,2022-12-04 01:03:36
Brownstone,If You Love Me,From The Bottom Up,2022-12-04 00:58:46
Tonic,If You Could Only See,Lemon Parade,2022-12-04 00:54:12
Lenny Kravitz,If You Can't Say No,5,2022-12-04 00:47:50
Me'shell Ndegeocello,If That's Your Boyfriend (He Wasn't Last Night),Plantation Lullabies,2022-12-04 00:43:19
Sheryl Crow,If It Makes You Happy,Sheryl Crow,2022-12-04 00:38:06
TLC,If I Was Your Girlfriend,CrazySexyCool,2022-12-04 00:33:10
Bruce Springsteen,If I Should Fall Behind,Lucky Town,2022-12-04 00:28:46
Nas,If I Ruled The World,It Was Written,2022-12-04 00:24:06
MC 900 Foot Jesus,If I Only Had A Brain,One Step Ahead Of The Spider,2022-12-04 00:19:45
Tony! Toni! Tone!,If I Had No Loot,Sons of Soul,2022-12-04 00:15:38
Barenaked Ladies,"If I Had $1,000,000",Gordon,2022-12-04 00:11:17
Sting,If I Ever Lose My Faith In You,Ten Summoner's Tales,2022-12-04 00:06:03
Shai,If I Ever Fall in Love,If I Ever Fall In Love,2022-12-04 00:02:50
